Simulation Frame | Timestamp | Position | Velocity | Heading | Angular Velocity | Acceleration | Stopped at Red Light + Light ID 
3160 | 39.903915498405695 | 98.19796752929688,191.6327362060547,0.23128311336040497 | 5.044771194458008,-0.012013685889542103,-3.814203921592707e-07 | 90.1 | 0.003623613156378269,0.10566143691539764,0.4290110468864441 | -7.095636367797852,0.04221075400710106,0.00011892173642991111 | 0,0
3170 | 40.029760397970676 | 98.77388763427734,191.6311798095703,0.23093032836914062 | 4.228463172912598,-0.007414302788674831,-0.0010794668924063444 | 90.1 | 0.0028087194077670574,0.0833476334810257,0.3256528973579407 | -6.129323959350586,0.036725979298353195,0.008153755217790604 | 0,0
3180 | 40.15407259762287 | 99.24574279785156,191.63026428222656,0.2309662252664566 | 3.420544147491455,-0.0035660122521221638,0.001312350039370358 | 90.1 | 0.0015069883083924651,0.05215487629175186,0.2698671221733093 | -5.719931602478027,0.026150628924369812,0.13225707411766052 | 0,0
3190 | 40.2844038978219 | 99.66263580322266,191.62989807128906,0.23098625242710114 | 3.178849458694458,-0.001929769292473793,4.785857527167536e-05 | 90.0 | -0.0011997534893453121,-0.062117625027894974,-0.009882107377052307 | -0.04271508380770683,0.005186638329178095,-0.08082640171051025 | 0,0
3200 | 40.41362959891558 | 100.06986236572266,191.6296844482422,0.2309819757938385 | 3.0882885456085205,-0.0018406627932563424,0.00067292177118361 | 90.0 | -0.0022448657546192408,-0.06924145668745041,-0.004491006955504417 | -0.5621832013130188,-0.0021796247456222773,-0.007539669517427683 | 0,0
3210 | 40.540901098400354 | 100.44175720214844,191.62942504882812,0.23102916777133942 | 2.7466659545898438,-0.0014648550422862172,0.0015965037746354938 | 90.0 | -0.0008407384739257395,-0.0015489058569073677,0.12300441414117813 | -4.033380508422852,0.0030612328555434942,0.05147702246904373 | 0,0
3220 | 40.67657610028982 | 100.76827239990234,191.62918090820312,0.2309941053390503 | 2.240403890609741,-0.0005471124313771725,0.0011645267950370908 | 90.0 | 0.0003705599228851497,0.002179499715566635,0.0301838219165802 | -0.6949614882469177,0.004275381099432707,0.10151080787181854 | 0,0
3230 | 40.804585199803114 | 101.06241607666016,191.6291961669922,0.23103469610214233 | 2.329857349395752,-0.000628514273557812,0.0013901955680921674 | 90.0 | -0.001370644080452621,-0.06285854429006577,-0.055412232875823975 | 1.2875723838806152,-0.0031496707815676928,0.03214823082089424 | 0,0
3240 | 40.94124049693346 | 101.3975830078125,191.62911987304688,0.2309085726737976 | 2.554051399230957,-0.0009782598353922367,0.0008698861347511411 | 90.0 | -0.0017558495746925473,-0.06585042178630829,-0.07651057839393616 | 1.974707841873169,-0.00019574366160668433,-0.06186289340257645 | 0,0
3250 | 41.06796909868717 | 101.7378921508789,191.62899780273438,0.2309235781431198 | 2.7944424152374268,-0.0015643429942429066,-0.0002847108116839081 | 90.0 | -0.0015207396354526281,-0.047907210886478424,-0.08731063455343246 | 2.1281538009643555,-0.007456417195498943,-0.13996247947216034 | 0,0
3260 | 41.19728669896722 | 102.11036682128906,191.6288604736328,0.2308870255947113 | 2.892160654067993,-0.0020428847055882215,-8.829880971461535e-05 | 90.0 | -0.00034714603680185974,0.00350065971724689,0.0036543053574860096 | -1.555346131324768,0.002564449328929186,0.05829770117998123 | 0,0
3270 | 41.3286770991981 | 102.452392578125,191.62855529785156,0.23094390332698822 | 2.379631757736206,-0.0013912908034399152,-0.0002983275044243783 | 90.0 | 0.002240654081106186,0.08873627334833145,0.13474655151367188 | -3.9007346630096436,0.006000966764986515,-0.008847778663039207 | 0,0
3280 | 41.45417569950223 | 102.73989868164062,191.62831115722656,0.2310178279876709 | 2.2512624263763428,-0.0009668581769801676,0.0003833773953374475 | 90.0 | 0.0009086996433325112,0.005699991714209318,-0.02932104282081127 | 0.7244946360588074,-0.002008880954235792,-0.02485327050089836 | 0,0
3290 | 41.58079759776592 | 103.03593444824219,191.628173828125,0.2309851348400116 | 2.417179822921753,-0.0012348294258117676,0.0003672814054880291 | 90.0 | -0.001002969336695969,-0.041883520781993866,-0.064971424639225 | 1.6621750593185425,-0.0049701863899827,-0.007671547122299671 | 0,0
3300 | 41.71140639856458 | 103.36427307128906,191.62806701660156,0.2309134304523468 | 2.6494438648223877,-0.0017396570183336735,0.00037686381256207824 | 90.0 | -0.0013769781216979027,-0.043856117874383926,-0.07971630990505219 | 1.7531054019927979,-0.0054887025617063046,0.00446581793949008 | 0,0
3310 | 41.84209789708257 | 103.73202514648438,191.6279296875,0.23083987832069397 | 2.90494704246521,-0.002373135881498456,-0.0017331126146018505 | 90.0 | -0.0010162261314690113,-0.031306251883506775,-0.08669337630271912 | 2.255711317062378,-0.0030515932012349367,-0.24152036011219025 | 0,0
3320 | 41.97377239912748 | 104.11817932128906,191.62754821777344,0.23089896142482758 | 2.813554525375366,-0.0025933876167982817,0.000623493455350399 | 90.1 | 0.0007666060701012611,0.04398247227072716,0.07246467471122742 | -3.446519613265991,0.003988060634583235,0.10034993290901184 | 0,0
3330 | 42.099155496805906 | 104.4178695678711,191.6271514892578,0.23101486265659332 | 2.1683201789855957,-0.00137132138479501,0.000967199623119086 | 90.0 | 0.0029266199562698603,0.09358534216880798,0.10246267169713974 | -2.3210365772247314,0.006282219663262367,0.032566651701927185 | 0,0
3340 | 42.22581319883466 | 104.68984985351562,191.626953125,0.23101657629013062 | 2.126197576522827,-0.0011296436423435807,0.0005044892895966768 | 90.0 | 0.0003733086632564664,-0.004835234023630619,-0.011053222231566906 | -0.027460845187306404,-0.0016574467299506068,0.06546933948993683 | 0,0
3350 | 42.3540606983006 | 104.96256256103516,191.6267547607422,0.23097757995128632 | 2.1226015090942383,-0.0011518008541315794,0.000559451465960592 | 90.0 | -0.0006433551316149533,-0.023649020120501518,-0.010765853337943554 | -0.02799322083592415,-0.0006790697225369513,0.10751166194677353 | 0,0
3360 | 42.482170298695564 | 105.23590850830078,191.62657165527344,0.23095835745334625 | 2.1190009117126465,-0.0012128667440265417,0.0013914278242737055 | 90.0 | -0.0006449886714108288,-0.01894172839820385,-0.01108117587864399 | -0.028405938297510147,-0.00032042813836596906,0.0854894146323204 | 0,0
