Simulation Frame | Timestamp | Position | Velocity | Heading | Angular Velocity | Acceleration | Stopped at Red Light + Light ID 
10 | 0.12864269688725471 | 104.58975982666016,191.76950073242188,0.20466437935829163 | -1.5507417629123665e-05,0.004999853670597076,0.22964262962341309 | 0.0 | -0.9762163758277893,-0.07153952121734619,-0.00045758523629046977 | -0.00028893828857690096,0.03460853174328804,-0.4658985435962677 | 0,0
20 | 0.26164359971880913 | 104.58984375,191.76950073242188,0.2292296141386032 | -2.85899150185287e-05,0.005540173500776291,0.14818266034126282 | 0.0 | -0.9434804320335388,-0.11865038424730301,-0.0004637582169380039 | 5.643579424940981e-05,-0.014462107792496681,-0.5914077162742615 | 0,0
30 | 0.391372200101614 | 104.58992004394531,191.76954650878906,0.24343913793563843 | -2.1270503566483967e-05,0.0036888644099235535,0.08330968022346497 | 0.0 | -0.5961089134216309,-0.08678343147039413,-0.00018812593771144748 | 6.002316877129488e-05,-0.01396842859685421,-0.46587345004081726 | 0,0
40 | 0.5170723982155323 | 104.5899658203125,191.76959228515625,0.2509691119194031 | -1.2703922038781457e-05,0.002179056406021118,0.0444331020116806 | 0.0 | -0.34339815378189087,-0.05188984051346779,-5.847090869792737e-05 | 5.7544977607904e-05,-0.010364457964897156,-0.2945059537887573 | 0,0
50 | 0.6419118978083134 | 104.5899887084961,191.7696075439453,0.2548075318336487 | -6.821263013989665e-06,0.0012417783727869391,0.022985555231571198 | 0.0 | -0.19326673448085785,-0.02820553444325924,-1.529028122604359e-05 | 4.089533103979193e-05,-0.005971016827970743,-0.11906131356954575 | 0,0
60 | 0.767425999045372 | 104.59000396728516,191.76966857910156,0.2567201554775238 | -3.389773610251723e-06,0.0006908156792633235,0.010810398496687412 | 0.0 | -0.10676383227109909,-0.01416050922125578,-3.639548594946973e-06 | 2.0456011043279432e-05,-0.003545408835634589,-0.11944624036550522 | 0,0
70 | 0.8914107978343964 | 104.59001922607422,191.7696075439453,0.25767895579338074 | -2.0455802314245375e-06,-2.0219695215928368e-05,0.006081695202738047 | 0.0 | -0.05908512324094772,-0.006767854560166597,1.2343272146608797e-06 | 1.2128575690439902e-05,9.875780233414844e-05,-0.059262026101350784 | 0,0
80 | 1.0144592002034187 | 104.59001922607422,191.76956176757812,0.2581249475479126 | -9.307144068770867e-07,-1.1216583516215906e-05,0.0031017346773296595 | 0.0 | -0.0322241336107254,-0.0030713549349457026,3.850418011097645e-07 | 6.572533948201453e-06,4.246715616318397e-05,0.11416883021593094 | 0,0
90 | 1.1382973976433277 | 104.59001922607422,191.76956176757812,0.25835350155830383 | -1.1644683439726577e-07,-7.25003587831452e-07,0.0026102352421730757 | 0.0 | -0.007370403967797756,-0.00036401741090230644,2.0379302156925405e-07 | -8.411611815972719e-07,-0.0002160454314434901,0.001794995740056038 | 0,0
100 | 1.2662250995635986 | 104.59001922607422,191.76954650878906,0.2584361135959625 | -1.650052610102648e-07,-3.4765139389492106e-06,0.0014596221735700965 | 0.0 | -0.010825605131685734,-0.0005271678091958165,7.228620546584352e-08 | 6.936631393728021e-07,-8.4832663560519e-06,0.1637171506881714 | 0,0
