Simulation Frame | Timestamp | Position | Velocity | Heading | Angular Velocity | Acceleration | Stopped at Red Light + Light ID 
310 | 3.9023490995168686 | 98.22866821289062,191.69371032714844,0.2936702370643616 | 3.88774037361145,-0.06950850039720535,0.0003173828008584678 | 91.0 | 0.004317753948271275,0.30258986353874207,-0.20355884730815887 | -0.06811126321554184,-0.032082390040159225,0.03879356384277344 | 0,0
320 | 4.0343532003462315 | 98.75472259521484,191.6846466064453,0.2932875454425812 | 4.197638988494873,-0.07415907084941864,0.0014762241626158357 | 91.0 | -0.022818103432655334,-0.9262359142303467,-0.13868868350982666 | 4.197102069854736,-0.10038749873638153,0.02998499944806099 | 0,0
330 | 4.159455098211765 | 99.30860900878906,191.67515563964844,0.29187527298927307 | 4.6384382247924805,-0.08062944561243057,-0.0018802504055202007 | 91.0 | -0.007794609293341637,-0.9359774589538574,-0.08873429894447327 | 3.085214376449585,-0.024461759254336357,-0.10900093615055084 | 0,0
340 | 4.28503679856658 | 99.88578796386719,191.66531372070312,0.29230305552482605 | 4.364759922027588,-0.0747774988412857,0.0014367562253028154 | 91.0 | 0.0326550155878067,1.6409409046173096,-0.055148057639598846 | -6.019125938415527,0.11811313033103943,0.0437195710837841 | 0,0
350 | 4.407804500311613 | 100.34548950195312,191.65753173828125,0.2963551878929138 | 3.2472548484802246,-0.0551474504172802,5.898713425267488e-05 | 91.0 | 0.05567602440714836,3.509403944015503,-0.04654382914304733 | -9.619048118591309,0.1744631677865982,-0.09026089310646057 | 0,0
360 | 4.530062098056078 | 100.67503356933594,191.65199279785156,0.3000534474849701 | 2.4895567893981934,-0.04232774302363396,0.0007277131080627441 | 91.0 | 0.012392666190862656,1.156107783317566,-0.009890391491353512 | -0.3508512079715729,0.0025456815492361784,0.10834180563688278 | 0,0
370 | 4.662241097539663 | 101.01097106933594,191.646240234375,0.29890379309654236 | 2.642449378967285,-0.04496832191944122,-0.0012486728373914957 | 91.0 | -0.028232159093022346,-1.6574617624282837,0.0025370533112436533 | 1.8380095958709717,-0.031779464334249496,-0.056523874402046204 | 0,0
380 | 4.790055397897959 | 101.3702392578125,191.64013671875,0.29625359177589417 | 2.913818836212158,-0.04955469071865082,0.0013765039620921016 | 91.0 | -0.029388941824436188,-1.8724676370620728,0.00486108148470521 | 2.1139256954193115,-0.03465455770492554,-0.028150849044322968 | 0,0
390 | 4.916204698383808 | 101.73367309570312,191.63394165039062,0.29512840509414673 | 2.6466543674468994,-0.044892556965351105,0.00027705568936653435 | 91.0 | 0.00952573399990797,0.5285905599594116,-0.0066277687437832355 | -6.283313274383545,0.1072346642613411,-0.07701418548822403 | 0,0
400 | 5.044326897710562 | 102.0193862915039,191.62911987304688,0.2968479096889496 | 2.121717691421509,-0.035784266889095306,0.000937778502702713 | 91.0 | 0.007365010213106871,0.49760252237319946,0.007127891294658184 | 0.8220282196998596,-0.008836247026920319,0.037516284734010696 | 0,0
410 | 5.1707923002541065 | 102.30109405517578,191.62437438964844,0.29606136679649353 | 2.325418710708618,-0.038963284343481064,-0.0004468051192816347 | 91.0 | -0.015300901606678963,-1.1010159254074097,0.018433045595884323 | 2.106773853302002,-0.028120672330260277,0.04065462574362755 | 0,0
420 | 5.297915697097778 | 102.62030792236328,191.6190185546875,0.29427844285964966 | 2.620147943496704,-0.04357524588704109,-0.0007624186691828072 | 91.0 | -0.01757819950580597,-1.241981029510498,0.027648326009511948 | 2.753038167953491,-0.042693644762039185,-0.1659518927335739 | 0,0
