Simulation Frame | Timestamp | Position | Velocity | Heading | Angular Velocity | Acceleration | Stopped at Red Light + Light ID 
2980 | 37.56951919943094 | 168.959228515625,187.58509826660156,0.21260875463485718 | -5.003545761108398,-0.1538064181804657,-1.54760400619125e-05 | 268.2 | 0.026316259056329727,-0.0037056533619761467,-0.16850225627422333 | 0.5084731578826904,0.9239562153816223,-0.01652756705880165 | 0,0
2990 | 37.698490899056196 | 168.33970642089844,187.56822204589844,0.21216243505477905 | -4.435984134674072,-0.10024387389421463,-0.002195020206272602 | 268.7 | 0.020196272060275078,-0.16451698541641235,-1.1357568502426147 | 7.426479816436768,0.35711079835891724,-0.03284415602684021 | 0,0
3000 | 37.8276501968503 | 167.8439483642578,187.55673217773438,0.21232157945632935 | -3.3691956996917725,-0.06289315968751907,0.0005471603944897652 | 268.9 | 0.0014902115799486637,-0.23370777070522308,-1.0441248416900635 | 6.941981315612793,0.3135852813720703,0.021052036434412003 | 0,0
3010 | 37.957808297127485 | 167.4408416748047,187.5486297607422,0.212447851896286 | -3.02496075630188,-0.049813903868198395,0.001428336021490395 | 269.1 | -0.007462317124009132,0.021511657163500786,-0.9141461849212646 | 0.15549355745315552,0.0903380736708641,0.08770021051168442 | 0,0
3020 | 38.088229298591614 | 167.03543090820312,187.54144287109375,0.21232375502586365 | -3.168677806854248,-0.04650070145726204,-0.0011883113766089082 | 269.2 | -0.010018052533268929,0.16752634942531586,-0.9336286187171936 | -2.0380682945251465,-0.18624623119831085,-0.14253105223178864 | 0,0
3030 | 38.21949980035424 | 166.61439514160156,187.5348663330078,0.21218913793563843 | -3.1252715587615967,-0.037199657410383224,0.0013422842603176832 | 269.3 | -0.0046317121013998985,0.061185870319604874,-0.9664740562438965 | 3.788928747177124,0.03498131409287453,0.08152648061513901 | 0,0
3040 | 38.351429399102926 | 166.26893615722656,187.5301971435547,0.21231529116630554 | -2.2443976402282715,-0.02187001332640648,-0.0009747411240823567 | 269.4 | -0.00542717520147562,-0.16026532649993896,-0.7133961319923401 | 5.91829252243042,0.012582837603986263,-0.1224668025970459 | 0,0
3050 | 38.48460889980197 | 165.9882049560547,187.52694702148438,0.21241286396980286 | -2.07975435256958,-0.016404999420046806,0.0006905375048518181 | 269.5 | -0.001979011343792081,0.05551569536328316,-0.6551710367202759 | -1.2750502824783325,0.032872360199689865,0.013231052085757256 | 0,0
3060 | 38.61785999685526 | 165.6943359375,187.52394104003906,0.2122049629688263 | -2.349285840988159,-0.01598062738776207,0.0009761623223312199 | 269.6 | -0.00034745558514259756,0.15655094385147095,-0.7094596028327942 | -2.2894363403320312,0.0390893928706646,0.06379182636737823 | 0,0
3070 | 38.743812300264835 | 165.37437438964844,187.52110290527344,0.21209651231765747 | -2.669593334197998,-0.014284897595643997,0.000847246206831187 | 269.7 | 0.0014598347479477525,0.14071129262447357,-0.793335497379303 | -2.5329160690307617,0.05050106346607208,0.01108936220407486 | 0,0
3080 | 38.873623199760914 | 165.0094757080078,187.5183868408203,0.21195216476917267 | -2.967116594314575,-0.012889093719422817,1.9166400306858122e-05 | 269.8 | -5.1613125833682716e-05,0.0790502205491066,-0.8242090344429016 | -0.9211642742156982,-0.027203666046261787,0.07675928622484207 | 0,0
3090 | 39.00408609956503 | 164.64315795898438,187.51620483398438,0.21199588477611542 | -2.4490067958831787,-0.0056863510981202126,-0.0013421948533505201 | 269.9 | -0.0009968311060220003,-0.1880430281162262,-0.6995617151260376 | 8.307785987854004,0.10391712188720703,-0.23057697713375092 | 0,0
