Simulation Frame | Timestamp | Position | Velocity | Heading | Angular Velocity | Acceleration | Stopped at Red Light + Light ID 
10 | 0.12864269688725471 | 150.24002075195312,191.77003479003906,1.0811121463775635 | 0.0,0.0,-2.3152945041656494 | 0.0 | 0.0,0.0,0.0 | 0.0,0.0,-8.459967613220215 | 0,0
20 | 0.26164359971880913 | 150.24002075195312,191.77003479003906,0.6780802011489868 | 0.0,0.0,-3.6146726608276367 | 0.0 | 0.0,0.0,0.0 | 0.0,0.0,-8.168652534484863 | 0,0
30 | 0.391372200101614 | 150.240478515625,191.77003479003906,0.1754378080368042 | -0.0057166218757629395,1.7965690858545713e-05,-2.705610513687134 | 0.0 | -0.004373086150735617,-1.436732292175293,4.749376239487901e-05 | 0.06171206012368202,-0.0011861847015097737,42.53437805175781 | 0,0
40 | 0.5170723982155323 | 150.24073791503906,191.7687530517578,0.1227881982922554 | 0.0016367834759876132,-0.034542493522167206,0.17817749083042145 | 0.0 | 3.6248602867126465,0.4133845269680023,0.0015654349699616432 | -0.02205713838338852,0.357026070356369,1.7228022813796997 | 0,0
50 | 0.6419118978083134 | 150.2406463623047,191.7687530517578,0.15260092914104462 | -0.00012301752576604486,-0.0009389714105054736,0.24445509910583496 | 0.0 | -0.010075313970446587,-0.030350327491760254,-0.0002843212569132447 | -0.006547767668962479,0.15824992954730988,-0.27613115310668945 | 0,0
60 | 0.767425999045372 | 150.24070739746094,191.7686309814453,0.17872317135334015 | -0.0004341615713201463,0.00934598408639431,0.17538727819919586 | 0.0 | -0.9798322319984436,-0.10996425151824951,-0.0007112299790605903 | -6.827338074799627e-05,0.02552344650030136,-0.4792153835296631 | 0,0
70 | 0.8914107978343964 | 150.2407989501953,191.7685546875,0.19530516862869263 | -0.0003588401305023581,0.009908563457429409,0.10482943058013916 | 0.0 | -0.9775068163871765,-0.09120889753103256,-0.0003930147795472294 | 0.0008905951399356127,-0.010336119681596756,-0.49149808287620544 | 0,0
80 | 1.0144592002034187 | 150.2408905029297,191.76852416992188,0.20468325912952423 | -0.0002314309385837987,0.007481588516384363,0.057333748787641525 | 0.0 | -0.7174912691116333,-0.0589456632733345,-0.0001488692796556279 | 0.0008847632561810315,-0.021405495703220367,-0.3734790086746216 | 0,0
90 | 1.1382973976433277 | 150.24093627929688,191.76852416992188,0.2097245305776596 | -0.0001325730117969215,0.004792162217199802,0.02965729869902134 | 0.0 | -0.4524012506008148,-0.03384523466229439,-4.2650859541026875e-05 | 0.0005633950349874794,-0.01782539114356041,-0.25959402322769165 | 0,0
100 | 1.2662250995635986 | 150.24098205566406,191.7685546875,0.21234774589538574 | -6.918417057022452e-05,0.002689944114536047,0.01572985202074051 | 0.0 | -0.25150132179260254,-0.017730841413140297,-6.131316240498563e-06 | 0.00033330812584608793,-0.011921679601073265,-0.07854965329170227 | 0,0
