Simulation Frame | Timestamp | Position | Velocity | Heading | Angular Velocity | Acceleration | Stopped at Red Light + Light ID 
10 | 0.12864269688725471 | 117.93003845214844,187.91995239257812,1.209199070930481 | 0.0,0.0,-1.7125979661941528 | 0.0 | 0.0,0.0,0.0 | 0.0,0.0,-8.465182304382324 | 0,0
20 | 0.26164359971880913 | 117.93003845214844,187.91995239257812,0.8862677812576294 | 0.0,0.0,-3.0127766132354736 | 0.0 | 0.0,0.0,0.0 | 0.0,0.0,-8.173685073852539 | 0,0
30 | 0.391372200101614 | 117.93003845214844,187.91995239257812,0.4050128757953644 | 0.0,0.0,-4.279304027557373 | 0.0 | 0.0,0.0,0.0 | 0.0,0.0,-10.031164169311523 | 0,0
40 | 0.5170723982155323 | 117.92899322509766,187.919677734375,0.11369872838258743 | 0.003243387211114168,0.10826889425516129,-0.11069794744253159 | 0.0 | -12.718426704406738,0.8974973559379578,0.003509536385536194 | -0.0015347569715231657,7.481936931610107,3.4992082118988037 | 0,0
50 | 0.6419118978083134 | 117.92924499511719,187.92152404785156,0.13705246150493622 | -0.0004259362758602947,0.01396968960762024,0.2457781583070755 | 0.0 | -1.351613163948059,-0.09411893039941788,0.0005182665190659463 | 0.012399832718074322,-0.279283732175827,0.4877178966999054 | 0,0
60 | 0.767425999045372 | 117.92921447753906,187.921630859375,0.16687247157096863 | 0.0003268752188887447,-0.006242476403713226,0.21397632360458374 | 0.0 | 0.7119452357292175,0.07654368877410889,-0.0005527306348085403 | 0.0018946316558867693,-0.06832031905651093,-0.44955965876579285 | 0,0
70 | 0.8914107978343964 | 117.92913055419922,187.92173767089844,0.18802131712436676 | 0.00038423342630267143,-0.010586204007267952,0.1374533474445343 | 0.0 | 1.0709753036499023,0.08701533079147339,-0.0004461049975361675 | -0.0005101903807371855,-0.005980837158858776,-0.5738900303840637 | 0,0
80 | 1.0144592002034187 | 117.92903900146484,187.92181396484375,0.2006082832813263 | 0.00027906615287065506,-0.00910545140504837,0.07825338840484619 | 0.0 | 0.8852295279502869,0.062092866748571396,-0.00019578223873395473 | -0.0010499343043193221,0.018984327092766762,-0.45706337690353394 | 0,0
90 | 1.1382973976433277 | 117.92897033691406,187.92181396484375,0.20757849514484406 | 0.0001702911249594763,-0.006260803900659084,0.041533324867486954 | 0.0 | 0.5961779356002808,0.03727808594703674,-6.623977969866246e-05 | -0.0008400402148254216,0.020270034670829773,-0.31301629543304443 | 0,0
100 | 1.2662250995635986 | 117.92893981933594,187.9218292236328,0.21128356456756592 | 9.292738104704767e-05,-0.003704320639371872,0.02189430221915245 | 0.0 | 0.3484440743923187,0.01988605223596096,-2.4693541490705684e-05 | -0.0004146412538830191,0.015116563066840172,-0.1082223504781723 | 0,0
110 | 1.3922079987823963 | 117.92892456054688,187.92184448242188,0.2131291925907135 | 4.7390421968884766e-05,-0.002001099055632949,0.011058643460273743 | 0.0 | 0.18671080470085144,0.010016278363764286,-8.436310054094065e-06 | -0.00025210462627001107,0.010251783765852451,-0.06097427010536194 | 0,0
120 | 1.51475889980793 | 117.92891693115234,187.92196655273438,0.21401625871658325 | 1.928362689795904e-05,-0.00030729957506991923,0.004946539178490639 | 0.0 | 0.09433496743440628,0.004769397899508476,-0.00021530590311158448 | -0.00011170333891641349,0.0022169395815581083,-0.07909617573022842 | 0,0
130 | 1.6378159001469612 | 117.92890167236328,187.9220428466797,0.21439635753631592 | 0.0,0.0,0.0 | 0.0 | 0.0,0.0,0.0 | -0.000703581958077848,0.009482108056545258,-0.18895173072814941 | 0,0
140 | 1.7675898000597954 | 117.92890167236328,187.9220428466797,0.21447265148162842 | 3.6386361443874193e-06,-3.069364174734801e-05,0.0009783059358596802 | 0.0 | 0.009228488430380821,0.0009009663481265306,-2.142644370906055e-05 | -4.880337201029761e-07,-1.2112725016777404e-05,-0.027790803462266922 | 0,0
150 | 1.892069198191166 | 117.92890167236328,187.9220733642578,0.214618980884552 | 2.8802537599403877e-06,-2.5268887839047238e-05,0.0007808755035512149 | 0.0 | 0.007657192647457123,0.0007138267392292619,-1.772038740455173e-05 | -1.0443546671012882e-05,5.6055778259178624e-05,0.014129512012004852 | 0,0
160 | 2.0266033969819546 | 117.92890167236328,187.9220733642578,0.2146936058998108 | 1.8228281533083646e-06,-1.5974776033544913e-05,0.0014110218035057187 | 0.0 | 0.004857004154473543,0.0004524122050497681,-1.1165523574163672e-05 | -8.324774171342142e-06,5.355757093639113e-05,0.006562733557075262 | 0,0
170 | 2.154604498296976 | 117.92890167236328,187.9220733642578,0.21471229195594788 | 7.056008257677604e-07,-7.104530141077703e-06,-0.001051043625921011 | 0.0 | 0.0021205737721174955,0.00017439996008761227,-4.948667992721312e-06 | -7.422273938573198e-06,-2.0119867258472368e-05,-0.18994519114494324 | 0,0
180 | 2.282364599406719 | 117.92890167236328,187.92208862304688,0.21474899351596832 | 7.245515689646709e-07,-6.568797289219219e-06,0.001013241708278656 | 0.0 | 0.0019942999351769686,0.00017969530017580837,-4.596494818542851e-06 | -3.0525682177540148e-06,2.487408164597582e-05,0.038904402405023575 | 0,0
190 | 2.403513800352812 | 117.92890167236328,187.92208862304688,0.21481680870056152 | 4.4500177409645403e-07,-4.750407242681831e-06,0.0005832556053064764 | 0.0 | 0.0014424873515963554,0.00011041681136703119,-3.303306129964767e-06 | -3.573547701307689e-06,1.632814201002475e-05,0.02014840953052044 | 0,0
200 | 2.5262091979384422 | 117.90789031982422,187.921875,0.21366217732429504 | -0.6610676646232605,-0.008684519678354263,0.0005756199243478477 | 0.0 | -0.15551909804344177,2.9824330806732178,0.28422051668167114 | -11.641965866088867,-0.15633273124694824,0.003780262777581811 | 0,0
210 | 2.6499598994851112 | 117.71859741210938,187.91986083984375,0.20805679261684418 | -2.1016805171966553,-0.031078020110726357,0.00014890797319822013 | 269.2 | -0.2591480314731598,3.8813798427581787,0.8979666233062744 | -8.168262481689453,-0.15026144683361053,0.1105518788099289 | 0,0
220 | 2.7773217000067234 | 117.36849212646484,187.91549682617188,0.20410479605197906 | -3.164515256881714,-0.056084658950567245,-0.0007244994048960507 | 269.0 | -0.20956170558929443,1.6894415616989136,1.3494768142700195 | -6.735415935516357,-0.2007940113544464,-0.1281082034111023 | 0,0
230 | 2.9035894982516766 | 116.91498565673828,187.90841674804688,0.20325133204460144 | -3.888866901397705,-0.08482807129621506,1.7154450688394718e-05 | 268.8 | -0.15721774101257324,-0.18241870403289795,1.7251973152160645 | -4.426818370819092,-0.23275330662727356,-0.030826294794678688 | 0,0
240 | 3.0299137979745865 | 116.38780975341797,187.8978271484375,0.20434623956680298 | -4.39389705657959,-0.12006792426109314,0.0010123283136636019 | 268.4 | -0.1579323559999466,-1.1076321601867676,2.1228675842285156 | -3.146620988845825,-0.29841911792755127,0.04307496175169945 | 0,0
250 | 3.153799597173929 | 115.81926727294922,187.8831787109375,0.2061266303062439 | -4.75799560546875,-0.16409452259540558,-0.00037533685099333525 | 268.0 | -0.2150694876909256,-1.3194211721420288,2.616487741470337 | -2.626697063446045,-0.4086880683898926,-0.08231160789728165 | 0,0
260 | 3.2806533984839916 | 115.19615173339844,187.86239624023438,0.20812122523784637 | -5.052436351776123,-0.2139187753200531,0.007115153595805168 | 267.6 | -0.11411116272211075,-1.2570606470108032,3.0864970684051514 | -2.06947922706604,0.2244584709405899,-0.10671167075634003 | 0,0
270 | 3.403763599693775 | 114.5587158203125,187.8427276611328,0.20991118252277374 | -5.294436454772949,-0.18100984394550323,0.0006883105961605906 | 268.0 | 0.5573045015335083,-0.859304666519165,1.0957850217819214 | -1.7126299142837524,0.07094185799360275,-0.021470999345183372 | 0,0
280 | 3.526996798813343 | 113.89229583740234,187.82188415527344,0.21089370548725128 | -5.510462760925293,-0.1839904934167862,-0.00053495226893574 | 268.1 | 0.2957390546798706,-0.605335533618927,0.7208116054534912 | -1.548643946647644,-0.09263689815998077,-0.0035807271488010883 | 0,0
290 | 3.6535379998385906 | 113.18138122558594,187.79925537109375,0.2115294635295868 | -5.711718559265137,-0.18974624574184418,-0.0005348181002773345 | 268.1 | 0.1304662674665451,-0.4181753396987915,0.517930269241333 | -1.3680654764175415,0.009671462699770927,0.0006779907853342593 | 0,0
300 | 3.7804990969598293 | 112.44442749023438,187.7754669189453,0.21200862526893616 | -5.880352020263672,-0.19464263319969177,-0.0003353868378326297 | 268.1 | 0.07431946694850922,-0.35259270668029785,0.3559221923351288 | -1.0429011583328247,0.007172489073127508,0.0012191543355584145 | 0,0
310 | 3.9023490995168686 | 111.72032928466797,187.7520294189453,0.21248739957809448 | -5.992082595825195,-0.19697672128677368,-0.00018709897994995117 | 268.1 | 0.04053611680865288,-0.38616809248924255,0.20914122462272644 | -0.6495685577392578,-0.04555542394518852,0.0013142203679308295 | 0,0
320 | 4.0343532003462315 | 110.92461395263672,187.72628784179688,0.21308451890945435 | -6.056985378265381,-0.19744674861431122,-8.336047176271677e-05 | 268.1 | 0.02928677201271057,-0.4159410893917084,0.09362226724624634 | -0.2689987123012543,-0.011950376443564892,0.0008010760648176074 | 0,0
330 | 4.159455098211765 | 110.16585540771484,187.70166015625,0.21366965770721436 | -6.0744171142578125,-0.1978975087404251,-4.043069566250779e-05 | 268.1 | 0.014603637158870697,-0.41079598665237427,0.05931643396615982 | -0.016702843829989433,0.00044480402721092105,0.0003455872065387666 | 0,0
340 | 4.28503679856658 | 109.4040298461914,187.6769561767578,0.21420376002788544 | -6.06388521194458,-0.19612479209899902,-1.5638332115486264e-05 | 268.1 | 0.024993896484375,-0.347674161195755,-0.00025449914392083883 | 0.14282459020614624,0.011637122370302677,0.0001836111187003553 | 0,0
350 | 4.407804500311613 | 108.66148376464844,187.65310668945312,0.2146175652742386 | -6.04069709777832,-0.19208888709545135,-7.5140114859095775e-06 | 268.2 | 0.044629693031311035,-0.2577589154243469,-0.0889025628566742 | 0.20666895806789398,0.04337216913700104,-8.756178431212902e-05 | 0,0
360 | 4.530062098056078 | 107.92496490478516,187.6298370361328,0.21489977836608887 | -6.01519250869751,-0.18626345694065094,-2.956027174150222e-06 | 268.2 | 0.05676708742976189,-0.16095340251922607,-0.19443944096565247 | 0.1797563135623932,0.053694117814302444,-0.0001118553991545923 | 0,0
370 | 4.662241097539663 | 107.13184356689453,187.60552978515625,0.2150692641735077 | -5.9916887283325195,-0.177525594830513,-3.671155354822986e-06 | 268.3 | 0.07193905860185623,-0.07293806225061417,-0.33527234196662903 | 0.15130919218063354,0.06401484459638596,-4.6820336137898266e-05 | 0,0
380 | 4.790055397897959 | 106.36727142333984,187.5830078125,0.21512648463249207 | -5.975920677185059,-0.16738377511501312,-3.5853508961736225e-06 | 268.4 | 0.07675854116678238,-0.012434092350304127,-0.4719778299331665 | 0.08956880867481232,0.0968392938375473,-6.024420144967735e-05 | 0,0
390 | 4.916204698383808 | 105.61410522460938,187.5620880126953,0.21511878073215485 | -5.967169284820557,-0.15385982394218445,-2.803451707222848e-06 | 268.5 | 0.09191931784152985,0.021969331428408623,-0.6582328677177429 | 0.04652785509824753,0.12378913164138794,5.430043165688403e-05 | 0,0
400 | 5.044326897710562 | 104.84986877441406,187.54248046875,0.21507896482944489 | -5.96353816986084,-0.1383306235074997,-3.852354893751908e-06 | 268.7 | 0.0830492228269577,0.03513345494866371,-0.8345028758049011 | 0.01425392646342516,0.12050021439790726,-7.445536175509915e-05 | 0,0
410 | 5.1707923002541065 | 104.09573364257812,187.5249786376953,0.21503184735774994 | -5.963200092315674,-0.1209907978773117,-3.804679636232322e-06 | 268.8 | 0.0833415538072586,0.03464669734239578,-0.9987015724182129 | -0.004236653912812471,0.11874229460954666,-0.0002999021962750703 | 0,0
