Simulation Frame | Timestamp | Position | Velocity | Heading | Angular Velocity | Acceleration | Stopped at Red Light + Light ID 
10 | 0.12864269688725471 | 135.87998962402344,226.0499725341797,0.19997119903564453 | 1.8821232572463487e-07,7.028798099106837e-10,-2.3160343170166016 | 0.0 | -1.730080896322761e-07,1.2925187547807582e-05,4.0712397009201595e-08 | -1.3092793778923806e-05,-3.405629556141321e-08,33.55909729003906 | 0,0
20 | 0.26164359971880913 | 135.8800506591797,226.04977416992188,0.1718011051416397 | -0.00436233077198267,5.384962059906684e-05,0.22425948083400726 | 0.0 | -0.2093326598405838,-0.7545063495635986,-0.0006976369768381119 | 0.14028412103652954,-0.0012611723504960537,1.379275918006897 | 0,0
30 | 0.391372200101614 | 135.8800048828125,226.0497589111328,0.20340797305107117 | 0.0025347464252263308,-1.6943547962000594e-05,0.23037613928318024 | 0.0 | 0.07404205203056335,0.4941478967666626,0.00020300233154557645 | 0.018337182700634003,-0.00027079484425485134,-0.5222356915473938 | 0,0
40 | 0.5170723982155323 | 135.87998962402344,226.04983520507812,0.22747734189033508 | 0.002731035929173231,-2.438426236039959e-05,0.1532517820596695 | 0.0 | 0.10520875453948975,0.46898025274276733,0.00018156468286179006 | -0.00539669394493103,4.0176797710955725e-07,-0.6871838569641113 | 0,0
50 | 0.6419118978083134 | 135.8800048828125,226.04989624023438,0.24199935793876648 | 0.0018707154085859656,-1.762809006322641e-05,0.0890466645359993 | 0.0 | 0.07782892882823944,0.3044852018356323,7.075419125612825e-05 | -0.007141380105167627,7.306121551664546e-05,-0.42626073956489563 | 0,0
60 | 0.767425999045372 | 135.88002014160156,226.04994201660156,0.2501363456249237 | 0.001123039866797626,-1.062746832758421e-05,0.04716015234589577 | 0.0 | 0.04706163331866264,0.17782068252563477,2.1974674382363446e-05 | -0.0052667707204818726,4.3212690798100084e-05,-0.319375604391098 | 0,0
70 | 0.8914107978343964 | 135.88002014160156,226.04995727539062,0.25436535477638245 | 0.0006408245535567403,-5.439847882371396e-06,0.025099290534853935 | 0.0 | 0.025618525221943855,0.10012649744749069,2.6454217731952667e-06 | -0.0028490740805864334,2.702878919080831e-05,-0.15943099558353424 | 0,0
80 | 1.0144592002034187 | 135.8800506591797,226.0499725341797,0.25648853182792664 | 0.00036169742816127837,-2.6278482891939348e-06,0.012794381007552147 | 0.0 | 0.013043719343841076,0.056096382439136505,-6.056874894966313e-07 | -0.0018025878816843033,2.711913657549303e-05,0.057553354650735855 | 0,0
90 | 1.1382973976433277 | 135.88002014160156,226.0499725341797,0.25753849744796753 | -1.0697376637835987e-05,-1.9144549696648028e-06,0.006855811458081007 | 0.0 | 0.0062148417346179485,0.031181685626506805,4.895110805591685e-07 | 6.455586844822392e-05,1.107663683797e-05,-0.01642054319381714 | 0,0
100 | 1.2662250995635986 | 135.8800048828125,226.0499725341797,0.2580261826515198 | -5.715311544918222e-06,-8.359913863387192e-07,0.003741650842130184 | 0.0 | 0.002703971927985549,0.016472088173031807,3.001206323460792e-07 | 2.9593797080451623e-05,5.943521500739735e-06,0.15056389570236206 | 0,0
