Simulation Frame | Timestamp | Position | Velocity | Heading | Angular Velocity | Acceleration | Stopped at Red Light + Light ID 
360 | 4.530062098056078 | 169.11412048339844,187.60748291015625,0.19656440615653992 | -5.927250385284424,-0.15135788917541504,1.2396344573062379e-06 | 268.5 | -0.006684768013656139,-0.0009236743208020926,-0.3032902777194977 | -0.007293639704585075,0.07004609704017639,0.0003126571828033775 | 0,0
370 | 4.662241097539663 | 168.33700561523438,187.58782958984375,0.19656379520893097 | -5.9273271560668945,-0.13992522656917572,-1.52566724409553e-06 | 268.6 | -0.007350451312959194,0.0007750707445666194,-0.4957764148712158 | 0.0050320737063884735,0.11555033177137375,-3.853769521811046e-05 | 0,0
380 | 4.790055397897959 | 167.5770721435547,187.56993103027344,0.19656184315681458 | -5.926063537597656,-0.1266566962003708,-5.244586986918875e-07 | 268.8 | -0.005122424103319645,0.0013609844027087092,-0.685620903968811 | 0.012406704016029835,0.09043870121240616,8.834652362565976e-06 | 0,0
390 | 4.916204698383808 | 166.8270263671875,187.55384826660156,0.19655951857566833 | -5.924264907836914,-0.11308186501264572,7.819158440725005e-07 | 268.9 | -0.001141678774729371,0.0012967427028343081,-0.8329927325248718 | 0.016817431896924973,0.037664636969566345,2.1352534531615674e-05 | 0,0
400 | 5.044326897710562 | 166.06935119628906,187.53933715820312,0.1965579241514206 | -5.922294616699219,-0.09601172059774399,1.239627920313069e-07 | 269.1 | -0.003253478556871414,0.0008394457981921732,-1.0186008214950562 | 0.01768246665596962,0.10671600699424744,2.4774937628535554e-05 | 0,0
410 | 5.1707923002541065 | 165.3201904296875,187.5267791748047,0.1965569704771042 | -5.920576095581055,-0.07970642298460007,-1.8403522972221253e-06 | 269.2 | -0.004588973708450794,0.0002870089956559241,-1.139730453491211 | 0.015659116208553314,0.207420215010643,-0.0002731496933847666 | 0,0
420 | 5.297915697097778 | 164.56253051757812,187.51605224609375,0.1965564638376236 | -5.918703556060791,-0.0643918439745903,-1.4303217312772176e-06 | 269.4 | -4.9429654609411955e-05,0.00014960009139031172,-1.2173707485198975 | 0.012439584359526634,0.11038041859865189,5.673899522662396e-06 | 0,0
430 | 5.422440700232983 | 163.8329620361328,187.50753784179688,0.19655688107013702 | -5.918068885803223,-0.049397069960832596,-1.0489163315696715e-07 | 269.5 | -0.0009298061486333609,-0.0004520287620835006,-1.2002286911010742 | 0.002272502752020955,0.1858094483613968,-1.7591535652172752e-05 | 0,0
440 | 5.554397199302912 | 163.0435333251953,187.5002899169922,0.19655776023864746 | -5.918076515197754,-0.03562692925333977,3.432824655646982e-07 | 269.7 | 0.002722197910770774,-0.0007118349894881248,-1.0647728443145752 | -0.003216494806110859,0.06425579637289047,0.00010720193677116185 | 0,0
450 | 5.676269996911287 | 162.3241424560547,187.49534606933594,0.1965586096048355 | -5.918010711669922,-0.02310766465961933,1.296837581321597e-06 | 269.8 | 0.0049829138442873955,-0.0004361225583124906,-1.040053367614746 | 0.0021283249370753765,0.05363008752465248,7.548579742433503e-05 | 0,0
