Simulation Frame | Timestamp | Position | Velocity | Heading | Angular Velocity | Acceleration | Stopped at Red Light + Light ID 
2670 | 33.54957979917526 | 168.92726135253906,187.7279052734375,0.20712295174598694 | -5.628201961517334,-0.2569288909435272,-7.056307254060812e-07 | 267.4 | -0.0060126157477498055,-0.01843438483774662,0.36530613899230957 | -1.7101328372955322,-0.15648649632930756,-0.00013962019875179976 | 0,0
2680 | 33.67594650015235 | 168.21038818359375,187.69573974609375,0.2071249783039093 | -5.632713317871094,-0.2655874490737915,8.772692012826155e-07 | 267.3 | -0.006925057619810104,-0.01506604440510273,0.33219113945961 | -1.5572601556777954,-0.14432865381240845,0.0001294773246627301 | 0,0
2690 | 33.80566629767418 | 167.48155212402344,187.66212463378906,0.2071256935596466 | -5.637990474700928,-0.2691003084182739,-2.0978306736196828e-07 | 267.3 | -0.010539413429796696,-0.015226571820676327,-0.015403143130242825 | -1.8943194150924683,-0.13533322513103485,-6.0128073528176174e-05 | 0,0
2700 | 33.93847719952464 | 166.74171447753906,187.62754821777344,0.2071235179901123 | -5.635380744934082,-0.2675647735595703,-1.8117545153018e-07 | 267.3 | -0.01289455872029066,-0.014050872065126896,-0.332973837852478 | -1.6229958534240723,-0.05471773445606232,1.5877007172093727e-05 | 0,0
2710 | 34.06982949748635 | 166.00933837890625,187.59347534179688,0.20712344348430634 | -5.637513160705566,-0.2610301971435547,4.672370437219797e-07 | 267.3 | -0.014709405601024628,-0.017513304948806763,-0.6885235905647278 | -1.5052133798599243,-0.008028512820601463,-1.127810355683323e-05 | 0,0
2720 | 34.19416959956288 | 165.2993927001953,187.561279296875,0.2071242481470108 | -5.637336730957031,-0.24858050048351288,-1.8117631839231763e-07 | 267.5 | -0.01386385876685381,-0.013934580609202385,-0.7847445011138916 | -1.316472053527832,0.011703068390488625,9.133909043157473e-05 | 0,0
2730 | 34.32363069802523 | 164.5690155029297,187.52952575683594,0.2071262001991272 | -5.640102863311768,-0.23322491347789764,-6.961021199458628e-07 | 267.6 | -0.011623656377196312,-0.01210452988743782,-1.1619105339050293 | -1.5464792251586914,0.046085797250270844,4.649632501241285e-06 | 0,0
2740 | 34.45098049938679 | 163.85153198242188,187.50021362304688,0.20712798833847046 | -5.6444268226623535,-0.2132778912782669,-1.2873052810391528e-06 | 267.8 | -0.010693845339119434,-0.011856568977236748,-1.4465211629867554 | -1.4394097328186035,0.05737542733550072,-5.9521960793063045e-05 | 0,0
2750 | 34.57847809791565 | 163.12843322753906,187.4730682373047,0.20712962746620178 | -5.651853084564209,-0.19214636087417603,6.960835889913142e-07 | 268.1 | -0.009376498870551586,-0.01614317297935486,-1.8062976598739624 | -1.5807209014892578,0.08453553915023804,0.00016240274999290705 | 0,0
2760 | 34.70687859877944 | 162.40573120117188,187.44834899902344,0.20712989568710327 | -5.65385627746582,-0.17052195966243744,-6.770181357751426e-07 | 268.3 | -0.003918053116649389,-0.013640321791172028,-1.9526736736297607 | -1.5577776432037354,0.04713030159473419,-7.954602551762946e-06 | 0,0
