Simulation Frame | Timestamp | Position | Velocity | Heading | Angular Velocity | Acceleration | Stopped at Red Light + Light ID 
1510 | 18.917882297188044 | 136.31150817871094,226.17300415039062,0.21233661472797394 | 0.026607761159539223,-5.382885456085205,1.3635983577842126e-06 | 179.7 | -0.0010264168959110975,-0.015075999312102795,-4.259570598602295 | -0.13616539537906647,-0.10595367848873138,1.4014581211085897e-05 | 0,0
1520 | 19.041311599314213 | 136.31715393066406,225.50802612304688,0.21233485639095306 | -0.008176040835678577,-5.392820835113525,1.1824142802652204e-06 | 180.1 | -0.0014526615850627422,-0.010238684713840485,-3.6663410663604736 | -0.3878669738769531,-0.08520519733428955,2.5985902539105155e-05 | 0,0
1530 | 19.167527597397566 | 136.3187255859375,224.82737731933594,0.21233507990837097 | -0.03345484659075737,-5.393670558929443,6.007428510201862e-07 | 180.4 | 0.0011328291147947311,-0.009783070534467697,-2.9716858863830566 | -0.29014506936073303,-0.04620208591222763,2.422555371595081e-05 | 0,0
1540 | 19.30215059965849 | 136.31674194335938,224.1026153564453,0.2123405784368515 | -0.05526009574532509,-5.376774787902832,5.721378215639561e-08 | 180.6 | 0.004640267230570316,-0.005231662653386593,-2.257753610610962 | -0.2821113169193268,0.008339541964232922,5.668803714797832e-05 | 0,0
1550 | 19.430801697075367 | 136.3114471435547,223.4105224609375,0.21234114468097687 | -0.07186490297317505,-5.387709617614746,-9.535454204012694e-09 | 180.8 | -0.004274103324860334,-0.00881899893283844,-1.792579174041748 | -0.21997152268886566,-0.21319948136806488,-4.9358754040440544e-05 | 0,0
1560 | 19.55762119963765 | 136.3036651611328,222.7263946533203,0.21233615279197693 | -0.08785787224769592,-5.401374816894531,-4.767769112845599e-08 | 180.9 | -0.004585552960634232,-0.006056998390704393,-1.5082416534423828 | -0.08445879817008972,-0.19960175454616547,5.805371256428771e-05 | 0,0
1570 | 19.686288099735975 | 136.29360961914062,222.03050231933594,0.21233245730400085 | -0.09837403148412704,-5.411423206329346,7.628465681364105e-08 | 181.0 | -0.0012792994966730475,-0.009329425171017647,-1.0797771215438843 | 0.047689616680145264,-0.0812363475561142,-2.965234853036236e-05 | 0,0
1580 | 19.81533119827509 | 136.28170776367188,221.33204650878906,0.21233314275741577 | -0.11137660592794418,-5.414743423461914,1.1442723035770541e-07 | 181.2 | 0.0004250527417752892,-0.004537734668701887,-0.9210947155952454 | -0.04626680165529251,-0.10582317411899567,-3.402220272619161e-06 | 0,0
1590 | 19.940712098032236 | 136.2685089111328,220.65235900878906,0.21233230829238892 | -0.12160581350326538,-5.428323268890381,-1.1538022590684704e-06 | 181.3 | -0.002232504775747657,-0.0027798640076071024,-0.8108530044555664 | -0.12865442037582397,-0.1523904800415039,-9.811665222514421e-05 | 0,0
1600 | 20.06537599861622 | 136.25396728515625,219.97474670410156,0.2123304009437561 | -0.13147050142288208,-5.440903186798096,-7.628352705069119e-07 | 181.4 | -0.0015686320839449763,-0.0018292295280843973,-0.6626021862030029 | -0.10048282146453857,-0.1172885075211525,1.568565858178772e-05 | 0,0
1610 | 20.194316998124123 | 136.237548828125,219.27349853515625,0.21233268082141876 | -0.14102770388126373,-5.437544822692871,-1.3349813343666028e-07 | 181.5 | 0.0025995417963713408,-0.0011416489724069834,-0.5320858955383301 | -0.08519990742206573,-0.054654017090797424,-3.1994823075365275e-06 | 0,0
1620 | 20.322948597371578 | 136.21981811523438,218.57424926757812,0.2123359590768814 | -0.15185965597629547,-5.437412738800049,-4.5770619294671633e-07 | 181.6 | 0.0010220796102657914,0.00022846917272545397,-0.47016820311546326 | -0.10162253677845001,-0.07526455074548721,2.8470643883338198e-05 | 0,0
