Simulation Frame | Timestamp | Position | Velocity | Heading | Angular Velocity | Acceleration | Stopped at Red Light + Light ID 
10 | 0.3333333507180214 | 135.87998962402344,226.0499725341797,0.17085708677768707 | -9.512540941614134e-07,-8.375589288789342e-08,-2.6950292587280273 | 0.0 | 6.887430208735168e-05,-9.923040488502011e-05,-2.0259051325410837e-08 | -2.853762089216616e-05,-2.5126767013716744e-06,46.12866973876953 | 0,0
20 | 0.6666667014360428 | 135.87998962402344,226.04981994628906,0.1727517694234848 | 0.0030585392378270626,-8.771591819822788e-05,0.19365796446800232 | 0.0 | 0.07766005396842957,0.4840904176235199,0.00021054164972156286 | 0.0068859984166920185,-7.012509013293311e-05,-0.6079655289649963 | 0,0
30 | 1.0000000521540642 | 135.8799591064453,226.04994201660156,0.20541712641716003 | 0.0014161145081743598,-3.2828273106133565e-05,0.05185924097895622 | 0.0 | 0.030032949522137642,0.1981649100780487,2.761587529676035e-05 | -0.006108458153903484,0.00015802221605554223,-0.285810261964798 | 0,0
40 | 1.3333334028720856 | 135.87997436523438,226.04995727539062,0.21314910054206848 | 0.0003271480090916157,-6.535005013574846e-06,0.008322834968566895 | 0.0 | 0.006093630567193031,0.042614877223968506,2.2799363250669558e-06 | -0.0011821555672213435,3.598291732487269e-05,-0.0526912659406662 | 0,0
50 | 1.666666753590107 | 135.8799285888672,226.0499725341797,0.2140917181968689 | 6.7290197875991e-06,-2.0148870589764556e-06,0.0018754693446680903 | 0.0 | 0.0016644783318042755,0.01172567531466484,2.0087627206066827e-07 | -2.42312435148051e-05,6.416466476366622e-06,-0.006372729316353798 | 0,0
60 | 2.0000001043081284 | 135.87991333007812,226.0499725341797,0.21436835825443268 | 2.0421350654942216e-06,-5.573540988734749e-07,0.0004944358370266855 | 0.0 | 0.00046010888763703406,0.0034595117904245853,6.950668307581509e-08 | -5.818396402901271e-06,7.849063763387676e-07,-0.0007889395928941667 | 0,0
70 | 2.3333334550261497 | 135.87991333007812,226.0499725341797,0.21445773541927338 | 5.349791081243893e-07,-1.5702734401656926e-07,0.00011056964285671711 | 0.0 | 0.00012784986756742,0.0008525048033334315,1.880333577730653e-08 | -8.069900445661915e-07,-2.890065502469952e-07,2.6889318178291433e-05 | 0,0
80 | 2.666666805744171 | 135.88526916503906,225.45628356933594,0.21310919523239136 | 0.04096744954586029,-3.5809133052825928,-1.7735386563799693e-06 | 179.3 | -0.547614336013794,-0.057240623980760574,1.1352648735046387 | 0.1615857630968094,-7.796980857849121,-6.121568731032312e-05 | 0,0
90 | 3.0000001564621925 | 135.90443420410156,224.1736297607422,0.21418625116348267 | 0.06716956198215485,-3.0681545734405518,5.337778929970227e-05 | 178.7 | 1.810452938079834,0.05635966360569,1.2293754816055298 | -0.0531613789498806,8.70759391784668,-0.0001161382460850291 | 0,0
100 | 3.333333507180214 | 135.91590881347656,223.68954467773438,0.2155081182718277 | 0.017042621970176697,-0.6150808930397034,-1.1270551112829708e-05 | 178.7 | -0.6953149437904358,0.013204416260123253,0.7327896356582642 | 0.1543743908405304,-3.4060745239257812,0.0004290818760637194 | 0,0
110 | 3.6666668578982353 | 135.9276885986328,223.2390899658203,0.2142435759305954 | 0.05465700104832649,-2.0455563068389893,2.8414758617145708e-06 | 178.5 | -0.6741694211959839,-0.047600243240594864,0.8267743587493896 | 0.21137382090091705,-3.990983724594116,-0.00011270551476627588 | 0,0
120 | 4.000000208616257 | 135.9537811279297,222.26731872558594,0.21406462788581848 | 0.08203700184822083,-2.9119832515716553,-1.7163276311293885e-07 | 178.4 | 0.35703179240226746,0.003934806678444147,0.6078957915306091 | 0.1475648432970047,0.05611896142363548,-3.261022357037291e-05 | 0,0
130 | 4.333333559334278 | 135.97024536132812,221.6731719970703,0.21541301906108856 | 0.010514454916119576,-0.3674025237560272,-2.7861717171617784e-05 | 178.4 | 0.4903866946697235,0.027772851288318634,0.05153646320104599 | 0.004391725640743971,-0.006455182563513517,6.865356681373669e-06 | 0,0
140 | 4.6666669100522995 | 135.98106384277344,221.27633666992188,0.21419253945350647 | 0.0615917444229126,-2.188735246658325,2.8605461466213455e-06 | 178.4 | -0.8109558820724487,-0.04449418932199478,0.2602204978466034 | 0.1351616382598877,-4.280375957489014,-0.0001693443045951426 | 0,0
150 | 5.000000260770321 | 136.00640869140625,220.34744262695312,0.21395693719387054 | 0.08376937359571457,-3.131913423538208,1.0679372053346015e-06 | 178.5 | 0.3305325508117676,0.04214097186923027,0.058829694986343384 | -0.13102209568023682,0.9710096716880798,5.835513729834929e-05 | 0,0
160 | 5.333333611488342 | 136.02061462402344,219.81614685058594,0.2154560387134552 | 0.008740833029150963,-0.3422272503376007,-2.6469586373423226e-05 | 178.5 | -0.02807554416358471,-0.007777712307870388,0.07605525851249695 | 0.09686316549777985,-4.2173752784729,0.0001682001748122275 | 0,0
170 | 5.666666962206364 | 136.02935791015625,219.49847412109375,0.21435542404651642 | 0.04308623820543289,-1.5815707445144653,5.892725312151015e-06 | 178.4 | -0.7075601816177368,-0.022437913343310356,0.4452226161956787 | 0.11040183901786804,-3.726825475692749,-0.0001315850968239829 | 0,0
