Simulation Frame | Timestamp | Position | Velocity | Heading | Angular Velocity | Acceleration | Stopped at Red Light + Light ID 
1360 | 45.33333569765091 | 136.25889587402344,226.17295837402344,0.21004649996757507 | 0.07374117523431778,-5.369808197021484,1.3349215350899613e-06 | 179.2 | 0.14734762907028198,-0.216145858168602,-3.5993447303771973 | -0.013722403906285763,0.028595922514796257,-1.0297966582584195e-05 | 0,0
1370 | 45.66666904836893 | 136.2832794189453,224.38661193847656,0.21037361025810242 | 0.004730632528662682,-5.32620096206665,2.1740149804827524e-06 | 179.9 | 0.2362390011548996,-0.11602653563022614,-1.9874316453933716 | -0.1061863824725151,0.9800576567649841,1.1442169807196478e-06 | 0,0
1380 | 46.00000239908695 | 136.2853546142578,223.4757537841797,0.2258281707763672 | -0.0018256738549098372,-0.009194297716021538,-1.874611189123243e-05 | 179.9 | 3.659838914871216,-0.19215282797813416,-0.04253421723842621 | 0.1650136560201645,13.590950965881348,0.00792485661804676 | 0,0
1390 | 46.333335749804974 | 136.2853546142578,223.4217071533203,0.21590670943260193 | -0.0012588858371600509,-0.1761932671070099,0.0009795463411137462 | 179.9 | -2.6836373805999756,-0.009125626645982265,-0.1049172505736351 | -0.0006258522043935955,0.00045508143375627697,-0.004513368010520935 | 0,0
1400 | 46.666669100522995 | 136.28514099121094,223.35145568847656,0.21067091822624207 | -0.0018588211387395859,-0.36012765765190125,0.00010023353388532996 | 179.9 | -1.344954252243042,0.01841103471815586,0.09879975020885468 | -0.0008756608585827053,-2.7206082344055176,-0.0009273889590986073 | 0,0
1410 | 47.000002451241016 | 136.2847442626953,222.95950317382812,0.20521694421768188 | -0.015951504930853844,-1.911093831062317,-7.183785055531189e-05 | 180.5 | -0.8533151149749756,0.041631173342466354,-0.8988503813743591 | -0.13162747025489807,-4.4008965492248535,-4.69128972326871e-05 | 0,0
1420 | 47.33333580195904 | 136.28024291992188,222.07151794433594,0.20409995317459106 | -0.036129262298345566,-3.329619884490967,-8.581638212490361e-06 | 180.6 | -0.04884382337331772,0.0002621977182570845,-1.2315696477890015 | 0.008383466862142086,-4.173187732696533,9.840280108619481e-05 | 0,0
1430 | 47.66666915267706 | 136.273681640625,221.18402099609375,0.215036541223526 | -0.010216637514531612,-1.0855904817581177,-8.141114085447043e-05 | 180.5 | 4.545622825622559,-0.15196290612220764,-0.40063104033470154 | 0.23989969491958618,11.016081809997559,-0.0029595207888633013 | 0,0
1440 | 48.00000250339508 | 136.27020263671875,220.85096740722656,0.21076618134975433 | -0.017114413902163506,-1.6842145919799805,0.00013831692922394723 | 180.6 | -3.0737156867980957,-0.020882457494735718,-0.24442866444587708 | 0.07281643897294998,-4.4784159660339355,-0.0011104641016572714 | 0,0
1450 | 48.3333358541131 | 136.2614288330078,220.03240966796875,0.2050560712814331 | -0.03747061267495155,-3.116668224334717,-6.674607720924541e-05 | 180.7 | -0.6162717938423157,-0.049314651638269424,-0.4030025899410248 | 0.04095173999667168,-4.206761837005615,0.00011613802780630067 | 0,0
