Simulation Frame | Timestamp | Position | Velocity | Heading | Angular Velocity | Acceleration | Stopped at Red Light + Light ID 
1810 | 60.33333647996187 | 168.5687713623047,187.57333374023438,0.19609053432941437 | -4.8910675048828125,-0.1254134476184845,6.293201408880122e-07 | 268.5 | -0.008248270489275455,-0.0001917569461511448,-0.3076275587081909 | -0.03664970025420189,0.04787250980734825,-2.174014844058547e-05 | 0,0
1820 | 60.66666983067989 | 166.9362335205078,187.5355224609375,0.1960906982421875 | -4.904116630554199,-0.08057084679603577,-4.386170644465892e-07 | 269.1 | -0.024668803438544273,-0.0006059990846551955,-1.03795325756073 | -0.042428966611623764,0.42196598649024963,-1.3158511137589812e-05 | 0,0
1830 | 61.000003181397915 | 165.29931640625,187.5104522705078,0.19609107077121735 | -4.917543888092041,-0.04294419288635254,1.5256246399530937e-07 | 269.5 | 0.006323406007140875,-1.6372590835089795e-05,-1.268571138381958 | -0.0398254357278347,0.05633711442351341,1.544694896438159e-05 | 0,0
1840 | 61.333336532115936 | 163.6579132080078,187.4981231689453,0.19609130918979645 | -4.930856704711914,-0.008353824727237225,-9.7258566711389e-07 | 269.9 | 0.009067218750715256,-9.368962309963536e-06,-1.2168251276016235 | -0.04001140221953392,-0.014777825213968754,2.4028588086366653e-05 | 0,0
1850 | 61.66666988283396 | 162.01217651367188,187.49598693847656,0.19609107077121735 | -4.942941188812256,0.01790502481162548,-1.1442184586485382e-06 | 270.2 | -0.006929790135473013,0.0002427701692795381,-1.0083674192428589 | -0.031828876584768295,0.22250451147556305,-4.348029688117094e-05 | 0,0
1860 | 62.00000323355198 | 160.36268615722656,187.50015258789062,0.19609028100967407 | -4.953433036804199,0.024308325722813606,4.958279760103323e-07 | 270.3 | 0.010182488709688187,0.00016378126747440547,-0.5958318114280701 | -0.031142232939600945,-0.0409712977707386,8.58163730299566e-06 | 0,0
1870 | 62.33333658427 | 158.70982360839844,187.5081024169922,0.19608984887599945 | -4.963418483734131,0.03272969648241997,1.5256246399530937e-07 | 270.4 | -0.00525712501257658,6.087271322030574e-05,-0.38885489106178284 | -0.029382703825831413,0.1417934000492096,2.174014844058547e-05 | 0,0
1880 | 62.66666993498802 | 157.0535125732422,187.5173797607422,0.1960899382829666 | -4.974010944366455,0.03173395246267319,4.0047643778962083e-07 | 270.4 | -0.002084297826513648,-9.131433762377128e-05,-0.17571809887886047 | -0.03232955560088158,0.07808166742324829,-4.004764832643559e-06 | 0,0
1890 | 63.00000328570604 | 155.40196228027344,187.52700805664062,0.19603313505649567 | -4.779155731201172,0.04139326512813568,5.911795142310439e-07 | 270.5 | -0.019168512895703316,0.1131962388753891,-0.35394057631492615 | 3.5189292430877686,0.12139610201120377,-5.148981927050045e-06 | 1,7
1900 | 63.333336636424065 | 154.21087646484375,187.53765869140625,0.19488048553466797 | -2.295219659805298,0.024186260998249054,-1.1384973731765058e-05 | 270.6 | 0.007616369053721428,0.2900322377681732,-0.2072623372077942 | 8.409761428833008,-0.06118593364953995,-2.8605425086425385e-06 | 1,7
