Simulation Frame | Timestamp | Position | Velocity | Heading | Angular Velocity | Acceleration | Stopped at Red Light + Light ID 
10 | 0.3333333507180214 | 165.09019470214844,187.1212921142578,0.15058588981628418 | 0.00016265499289147556,-0.006884750444442034,0.1152203306555748 | 0.0 | 1.0274195671081543,0.11320077627897263,-0.0010388594819232821 | -0.00031956963357515633,0.012375432066619396,-0.5303632020950317 | 0,0
20 | 0.6666667014360428 | 165.0900115966797,187.1215057373047,0.16871227324008942 | 4.041599459014833e-05,-0.0019616077188402414,0.02135382406413555 | 0.0 | 0.2744929790496826,0.029200918972492218,-0.00015995393914636225 | -0.00023379462072625756,0.009973499923944473,-0.12827886641025543 | 0,0
30 | 1.0000000521540642 | 165.08998107910156,187.12164306640625,0.17155024409294128 | 3.431018512856099e-06,-3.249785368097946e-05,0.0015985685167834163 | 0.0 | 0.022851908579468727,0.0017796818865463138,1.201564259645238e-06 | 2.7473712179926224e-05,-5.745630551245995e-05,0.013811860233545303 | 0,0
40 | 1.3333334028720856 | 165.08998107910156,187.12168884277344,0.17204394936561584 | 1.9924505068047438e-06,-1.7154397937702015e-05,0.0008752317517064512 | 0.0 | 0.013221669010818005,0.0010326424380764365,9.18415480555268e-07 | -9.89138879958773e-06,7.53314234316349e-05,-0.004036802798509598 | 0,0
50 | 1.666666753590107 | 165.08998107910156,187.12171936035156,0.1721559464931488 | 6.16487682236766e-07,-5.5001614782668184e-06,0.00025922266650013626 | 0.0 | 0.0042313095182180405,0.00031837777351029217,2.5784191848288174e-07 | -1.6684252841514535e-06,2.06005042855395e-05,-0.0009748746524564922 | 0,0
60 | 2.0000001043081284 | 164.92921447753906,187.1262664794922,0.1696019321680069 | -2.032296895980835,0.07848259061574936,3.592846042010933e-05 | 272.2 | 0.4130884110927582,2.2808151245117188,-2.1448757648468018 | -13.558791160583496,0.5692299008369446,-0.0008249813690781593 | 0,0
70 | 2.3333334550261497 | 163.70611572265625,187.1721954345703,0.16659098863601685 | -4.683903694152832,0.26683250069618225,1.1308692592137959e-05 | 273.3 | 0.10608431696891785,-0.39865389466285706,-4.786675930023193 | -4.621338367462158,0.597294807434082,0.00040104854269884527 | 0,0
80 | 2.666666805744171 | 161.9698944091797,187.26910400390625,0.17024028301239014 | -5.474717140197754,0.3438350260257721,-0.0009973198175430298 | 273.6 | -0.20851841568946838,-0.8537788391113281,-2.190776824951172 | -0.5322789549827576,0.5716385841369629,-0.009213817305862904 | 0,0
90 | 3.0000001564621925 | 160.19622802734375,187.37689208984375,0.17264167964458466 | -5.120087623596191,0.32108986377716064,-0.0004894203739240766 | 273.6 | -0.09498327225446701,-0.5003983378410339,-0.6396932005882263 | 1.2862156629562378,0.17008154094219208,0.002359949052333832 | 0,0
100 | 3.333333507180214 | 158.51210021972656,187.4777374267578,0.1727747619152069 | -5.121863842010498,0.2913828492164612,0.0005579781136475503 | 273.3 | -0.2838052213191986,0.2126372754573822,0.22860807180404663 | -0.6569766402244568,-1.248671054840088,-0.01276375725865364 | 0,0
110 | 3.6666668578982353 | 156.80654907226562,187.57647705078125,0.1726761907339096 | -5.106332302093506,0.2740265130996704,-9.834557567955926e-05 | 273.1 | -0.11731353402137756,0.010886570438742638,0.7050922513008118 | 0.08827685564756393,-0.20344732701778412,0.0002889152383431792 | 0,0
120 | 4.000000208616257 | 155.17388916015625,187.6576690673828,0.1726965308189392 | -4.335364818572998,0.17166021466255188,-0.0014100585831329226 | 272.3 | -0.07075373083353043,-0.8539779782295227,1.5768420696258545 | 7.238602161407471,-0.518325686454773,0.045823656022548676 | 1,7
