Simulation Frame | Timestamp | Position | Velocity | Heading | Angular Velocity | Acceleration | Stopped at Red Light + Light ID 
10 | 0.3333333507180214 | 135.88026428222656,215.26968383789062,0.1113864853978157 | -0.012586810626089573,0.002157449023798108,0.06520475447177887 | 0.0 | -0.9514590501785278,-1.7697826623916626,-0.00014756755263078958 | -0.3123260736465454,0.054033201187849045,51.67829132080078 | 0,0
20 | 0.6666667014360428 | 135.88026428222656,215.26954650878906,0.17453742027282715 | 0.0014530710177496076,-0.0003188434930052608,0.14974959194660187 | 0.0 | 0.13976988196372986,0.19102956354618073,0.00011498674575705081 | -0.003065872937440872,0.000257697218330577,-0.6093974113464355 | 0,0
30 | 1.0000000521540642 | 135.88023376464844,215.26980590820312,0.2037765085697174 | 0.0004932872834615409,-0.00011106958118034527,0.03579239174723625 | 0.0 | 0.04909263923764229,0.06101414933800697,8.027199328353163e-06 | -0.0021782207768410444,0.0005551035283133388,-0.20604169368743896 | 0,0
40 | 1.3333334028720856 | 135.88021850585938,215.2698516845703,0.20908206701278687 | 2.4782239052001387e-05,-1.9784047253779136e-05,0.005503767170011997 | 0.0 | 0.008638550527393818,0.015005785971879959,1.2352280691629858e-06 | -0.0002146475453628227,0.00012183957733213902,-0.03545759990811348 | 0,0
50 | 1.666666753590107 | 135.8802032470703,215.26988220214844,0.20973552763462067 | 6.918889994267374e-06,-3.6736139463755535e-06,0.0009930671658366919 | 0.0 | 0.0016010692343115807,0.0041203685104846954,2.082815200310506e-07 | -2.1817448214278556e-05,6.10123788646888e-06,-0.002119091572239995 | 0,0
60 | 2.0000001043081284 | 135.8802032470703,215.26988220214844,0.20990222692489624 | 1.9111341771349544e-06,-8.749390758566733e-07,0.00022871018154546618 | 0.0 | 0.00038081518141552806,0.001145007787272334,5.5385630304272127e-08 | -4.025993803224992e-06,-8.32153489227494e-07,0.00032495762570761144 | 0,0
70 | 2.3333334550261497 | 135.8803253173828,215.25827026367188,0.20932716131210327 | 0.006335810292512178,-0.44047850370407104,3.897970600519329e-05 | 0.0 | -2.1993913650512695,-0.1056387647986412,0.22241219878196716 | 0.1893245428800583,-13.179654121398926,0.00010355163976782933 | 0,0
80 | 2.666666805744171 | 135.88748168945312,214.62879943847656,0.20072822272777557 | 0.056499939411878586,-3.2494328022003174,-0.00018847183673642576 | 179.0 | -0.9135254621505737,-0.07300396263599396,1.3447988033294678 | 0.18367934226989746,-6.835634231567383,0.000723146484233439 | 0,0
90 | 3.0000001564621925 | 135.91314697265625,213.2352752685547,0.20208850502967834 | 0.13835091888904572,-4.878584384918213,0.00011287714733043686 | 178.4 | 0.8626971244812012,-0.08513762056827545,2.196617841720581 | 0.3247922360897064,-3.77366042137146,0.00021625723456963897 | 0,0
100 | 3.333333507180214 | 135.95938110351562,211.46527099609375,0.20679821074008942 | 0.146549791097641,-5.516519546508789,-0.001080981339327991 | 178.5 | 1.098586082458496,0.04844307526946068,0.6267581582069397 | -0.012946574948728085,0.26880738139152527,-0.004002477042376995 | 1,6
110 | 3.6666668578982353 | 135.99957275390625,210.0067901611328,0.21865646541118622 | 0.05511939898133278,-2.034045457839966,-0.002206834964454174 | 178.4 | 6.541388988494873,0.2392694354057312,-0.6871324777603149 | -0.5204378366470337,18.967178344726562,0.042152147740125656 | 1,6
120 | 4.000000208616257 | 136.002685546875,209.91213989257812,0.21961764991283417 | -0.0004975583869963884,0.006374921649694443,0.0012181539786979556 | 178.4 | -3.374532699584961,-0.11490126699209213,0.0018123904010280967 | 0.00035618021502159536,-0.0022222937550395727,-0.001241478486917913 | 1,6
130 | 4.333333559334278 | 136.00277709960938,209.90780639648438,0.21213416755199432 | -0.00015727724530734122,0.002367133041843772,0.00021185203513596207 | 178.4 | -1.0791956186294556,-0.037191763520240784,0.00020432338351383805 | 0.0007405768847092986,-0.010847600176930428,-0.0017918460071086884 | 1,6
140 | 4.6666669100522995 | 136.0028076171875,209.90689086914062,0.21046996116638184 | -5.731422334065428e-06,0.00015716174675617367,1.5828354662517086e-06 | 178.4 | -0.06801126152276993,-0.0024835984222590923,-1.1250388524786104e-05 | 0.00043163367081433535,-0.014464876614511013,-0.0004227886674925685 | 1,6
150 | 5.000000260770321 | 136.00282287597656,209.9066162109375,0.21011389791965485 | -4.912255462841131e-06,0.00015189158148132265,-1.620976036065258e-06 | 178.4 | -0.06660157442092896,-0.0023584282025694847,-1.2781739542333526e-06 | 2.0988152755307965e-05,-0.0006243941024877131,2.059593316516839e-05 | 1,6
160 | 5.333333611488342 | 136.00282287597656,209.90655517578125,0.2100173830986023 | -1.5742704135845997e-06,4.541910675470717e-05,-3.108460077783093e-06 | 178.4 | -0.0198753010481596,-0.0007483383524231613,-4.3731606069741247e-07 | 4.953211373504018e-06,-0.0001414353318978101,4.119185541640036e-05 | 1,6
170 | 5.666666962206364 | 136.00282287597656,209.90652465820312,0.20998527109622955 | -3.97335099933116e-07,1.2505359336500987e-05,-3.623358395543619e-07 | 178.4 | -0.005465992726385593,-0.00020002468954771757,-1.548360160086304e-07 | 1.6958508695097407e-06,-1.5534758858848363e-05,4.576873834594153e-06 | 1,6
180 | 6.000000312924385 | 136.00282287597656,209.90652465820312,0.20997534692287445 | -3.535076587013464e-08,2.8607103104150156e-06,-7.628122489222733e-07 | 178.4 | -0.0012500027660280466,-2.5062074200832285e-05,-4.200725811642769e-08 | 2.7257938199909404e-06,2.263277387726248e-08,-5.148981927050045e-06 | 1,6
190 | 6.3333336636424065 | 136.00282287597656,209.90652465820312,0.20997177064418793 | 1.0068034583810004e-07,3.3960967016355426e-07,-1.7163276311293885e-07 | 178.4 | -0.00014577813271898776,4.3747826566686854e-05,-3.318683639008668e-08 | -5.346839202502451e-07,-3.0375482310773805e-05,4.4624517613556236e-05 | 1,6
200 | 6.666667014360428 | 136.00282287597656,209.90652465820312,0.20997177064418793 | 1.1675395938937072e-07,3.7092064530952484e-07,-1.106077775148151e-06 | 178.4 | -0.00016187371511477977,4.588003139360808e-05,-1.5441054657117093e-08 | 7.894268492236733e-06,-1.7093781252697227e-06,-6.2931985667091794e-06 | 1,6
210 | 7.000000365078449 | 136.00282287597656,209.90652465820312,0.20997069776058197 | 8.269291917883947e-09,1.0188137622435534e-07,-1.1251480600549257e-06 | 178.4 | -4.436057497514412e-05,3.3036428703780985e-06,-1.5955116117183366e-09 | 2.3821396553103114e-06,3.49600014715179e-07,-1.487483677919954e-05 | 1,6
220 | 7.333333715796471 | 136.00282287597656,209.90652465820312,0.20997069776058197 | 1.467436216984197e-08,4.0561193515031846e-08,-2.288436888875367e-07 | 178.4 | -1.771548340911977e-05,8.498996976413764e-06,-1.1489734719205558e-09 | -2.3577615593239898e-07,4.034246785522555e-07,-2.288436689923401e-06 | 1,6
230 | 7.666667066514492 | 136.00282287597656,209.90652465820312,0.20997069776058197 | 3.055267328022637e-08,2.2925950915464455e-08,-2.479139880051662e-07 | 178.4 | -9.550598406349309e-06,2.965648718600278e-06,-1.0317202203680154e-08 | 7.560229846603761e-07,1.9687642804910865e-07,-1.1442178902143496e-06 | 1,6
240 | 8.000000417232513 | 136.00282287597656,209.90652465820312,0.20997069776058197 | -1.5259261632039056e-09,1.6521850554340745e-09,-1.907030799941367e-08 | 178.4 | -7.090104645612882e-07,-6.622752835028223e-07,-1.0639601179252e-11 | -5.546550255530747e-06,-5.707419177269912e-07,3.661499067675322e-05 | 1,6
250 | 8.333333767950535 | 136.00282287597656,209.90652465820312,0.20997069776058197 | 2.0466865535695433e-08,1.082913492211901e-08,-6.865310524517554e-07 | 178.4 | -4.4731255002261605e-06,6.758738891221583e-06,-4.695056787795693e-09 | 2.6882742076850263e-07,1.2285132022782363e-08,-2.2884357804286992e-06 | 1,6
260 | 8.666667118668556 | 136.00282287597656,209.90652465820312,0.20997069776058197 | 6.7812826465285525e-09,1.011284833651871e-08,-4.958279760103323e-07 | 178.4 | -4.435154096427141e-06,4.115973752050195e-06,-2.948372379574238e-10 | -2.5497563171938964e-08,6.292731313806144e-08,-1.1442178902143496e-06 | 1,6
270 | 9.000000469386578 | 136.00282287597656,209.90652465820312,0.20997069776058197 | 4.723034852105457e-09,6.445439737490233e-09,-3.432655262258777e-07 | 178.4 | -2.824182047334034e-06,3.028243327207747e-06,-1.9332106748759514e-10 | -1.0128565008926671e-07,9.799548195132957e-08,-1.1442178902143496e-06 | 1,6
280 | 9.333333820104599 | 136.00282287597656,209.90652465820312,0.20997069776058197 | -1.49030476848111e-09,1.1341120265129234e-09,-1.7163276311293885e-07 | 178.4 | -5.082009124635078e-07,-3.784877264934039e-07,-1.093247992134394e-10 | -1.1093515013271826e-06,-8.765587153902743e-07,1.7163276879728073e-06 | 1,6
290 | 9.66666717082262 | 136.00282287597656,209.90652465820312,0.20997069776058197 | -2.3099342438825943e-09,1.1608077832292452e-09,-1.907030799941367e-08 | 178.4 | -4.980332732884563e-07,-1.0026991503764293e-06,8.541364143743735e-11 | -1.0923246662741803e-07,8.322552957906737e-08,2.3456475901184604e-05 | 1,6
300 | 10.000000521540642 | 136.00282287597656,209.90652465820312,0.20997069776058197 | 7.553909497914901e-09,-1.7823934550520448e-09,-7.246716791087238e-07 | 178.4 | 7.550928557975567e-07,4.226358214509673e-06,-1.2781373182058076e-10 | 4.803870368164098e-08,-2.0518255539059282e-08,-2.2884357804286992e-06 | 1,6
310 | 10.333333872258663 | 136.00282287597656,209.90652465820312,0.20997069776058197 | -3.0453126687035592e-09,-7.409935443014604e-10,-5.530388875740755e-07 | 178.4 | 3.328640900690516e-07,-1.5303820646295208e-06,9.356685565231615e-11 | -6.9739037655836e-08,3.432536743730452e-08,-1.1442169807196478e-06 | 1,6
320 | 10.666667222976685 | 136.00282287597656,209.90652465820312,0.20997069776058197 | -9.300681891311058e-10,-2.3761070888639324e-09,-4.1954677953981445e-07 | 178.4 | 1.0302285318175564e-06,-1.3953723509985139e-07,1.8054502337605527e-10 | -1.1083952955459608e-07,-1.5677814602099716e-08,-2.2884373720444273e-06 | 1,6
330 | 11.000000573694706 | 136.00282287597656,209.90652465820312,0.20997069776058197 | -2.8339082192019305e-09,-1.9942285600649257e-09,-2.8605461466213455e-07 | 178.4 | 5.624640948553861e-07,3.1515432965534274e-06,4.154305788262036e-09 | -2.3808132709746133e-07,1.7186317924355876e-09,-1.7163276879728073e-06 | 1,6
340 | 11.333333924412727 | 136.00282287597656,209.90652465820312,0.20997069776058197 | 2.2984363023947907e-10,2.431107815059619e-10,-3.814061599882734e-08 | 178.4 | -1.0436770736532708e-07,9.981167181649653e-08,-3.567277723215412e-11 | -1.327442422649483e-08,-2.1365304192499934e-08,2.5744913727976382e-05 | 1,6
350 | 11.666667275130749 | 136.00282287597656,209.90652465820312,0.20997069776058197 | 4.912676043744568e-09,-2.7602535812576434e-09,-8.772341288931784e-07 | 178.4 | 1.191055389426765e-06,2.679530098248506e-06,-7.020318354422628e-11 | 4.8038728550636733e-08,-2.0518251986345604e-08,-2.2884373720444273e-06 | 1,6
360 | 12.00000062584877 | 136.00282287597656,209.90652465820312,0.20997069776058197 | -6.919606554411928e-10,-3.6645012024827395e-10,-6.102498559812375e-07 | 178.4 | 1.636301760754577e-07,-5.870317636436084e-07,-1.0320862220414284e-11 | 4.8093873772359075e-08,-2.051731051722072e-08,-2.2884373720444273e-06 | 1,6
370 | 12.333333976566792 | 136.00282287597656,209.90652465820312,0.20997069776058197 | -5.54484325121507e-09,1.3308922852672822e-09,-4.1954677953981445e-07 | 178.4 | -5.706604611077637e-07,-2.8999113510508323e-06,1.6687308479479412e-10 | -8.779686311299884e-08,-1.207160926774975e-09,-2.2884373720444273e-06 | 1,6
380 | 12.666667327284813 | 136.00282287597656,209.90652465820312,0.20997069776058197 | 5.102136046986061e-09,-2.0515165122247936e-09,-2.288436888875367e-07 | 178.4 | 8.80765981037257e-07,2.7927385417569894e-06,-8.324886613397808e-11 | 4.804187270224247e-08,-2.0518193366569903e-08,-2.288436689923401e-06 | 1,6
390 | 13.000000678002834 | 136.00282287597656,209.90652465820312,0.20997069776058197 | 2.6995563562337566e-09,-1.025615259386825e-09,-1.1442184444376835e-07 | 178.4 | 4.4044125502296083e-07,1.392808030686865e-06,-5.8181161277648386e-11 | 4.916942586419282e-08,-2.049616831811818e-08,-2.288436689923401e-06 | 1,6
400 | 13.333334028720856 | 136.00282287597656,209.90652465820312,0.20997069776058197 | 5.1171569204200296e-09,-6.306181687953938e-10,-7.628122489222733e-07 | 178.4 | 2.617380232550204e-07,2.929306447185809e-06,-9.099244968613363e-11 | 2.3116747627227596e-08,-2.9526396883028383e-09,-2.2884357804286992e-06 | 1,6
410 | 13.666667379438877 | 136.00282287597656,209.90652465820312,0.20997069776058197 | -2.0635737563168277e-09,-1.5079132387185723e-10,-6.865310524517554e-07 | 178.4 | 7.282816483211718e-08,-1.3402813010543468e-06,-1.3174226466683425e-11 | 1.2794544979044531e-08,-2.7828281901065566e-08,-2.2884357804286992e-06 | 1,6
420 | 14.000000730156898 | 136.00282287597656,209.90652465820312,0.20997069776058197 | -1.5589695090412192e-09,-1.79643178110922e-09,-4.1954677953981445e-07 | 178.4 | 7.790286531417223e-07,-5.049850528848765e-07,1.82905815493406e-10 | -1.1082503448278658e-07,-1.5677647624556812e-08,-2.2884373720444273e-06 | 1,6
430 | 14.33333408087492 | 136.00282287597656,209.90652465820312,0.20997069776058197 | -2.9194781703267836e-08,-2.8146169839260438e-08,-9.535153111528416e-08 | 178.4 | 1.2056563718942925e-05,-1.1663509212667122e-05,4.794680208419777e-09 | -1.0581514970908756e-06,-8.61213493408286e-07,1.7163279153464828e-06 | 1,6
440 | 14.666667431592941 | 136.00282287597656,209.90652465820312,0.20997069776058197 | 4.523839525205631e-09,4.218504989772498e-10,-1.1442184444376835e-07 | 178.4 | -1.9126174777284177e-07,2.327705033167149e-06,-1.790891740460765e-10 | 8.686465946539101e-08,8.289356756563393e-09,-2.288436689923401e-06 | 1,6
450 | 15.000000782310963 | 136.00282287597656,209.90652465820312,0.20997069776058197 | 8.085567770876878e-09,1.2474485444613492e-08,-6.674607675449806e-07 | 178.4 | -5.467792107083369e-06,4.3957070374744944e-06,-3.111854385284829e-10 | -1.9624172864496359e-07,-1.2306901275849214e-08,-2.2884373720444273e-06 | 1,6
460 | 15.333334133028984 | 136.00282287597656,209.90652465820312,0.20997069776058197 | -3.1397342503680647e-09,2.914240848639338e-09,-4.958279760103323e-07 | 178.4 | -1.2623797829292016e-06,-1.430916995559528e-06,4.2657200688411834e-11 | -1.0478897394250453e-07,6.915906425319918e-08,-1.1442178902143496e-06 | 1,6
470 | 15.666667483747005 | 136.00282287597656,209.90652465820312,0.20997069776058197 | -9.300683001534082e-10,-2.3761070888639324e-09,-4.1954677953981445e-07 | 178.4 | 1.0302285318175564e-06,-1.3953726352156082e-07,1.805452731762358e-10 | -1.1083952244916873e-07,-1.5677811049386037e-08,-2.2884373720444273e-06 | 1,6
480 | 16.000000834465027 | 136.00282287597656,209.90652465820312,0.20997069776058197 | 4.776417483753903e-09,-2.0560129154745255e-09,-2.288436888875367e-07 | 178.4 | 8.838046596792992e-07,2.602404720164486e-06,-7.779266120166994e-11 | 4.806953768365929e-08,-2.0517482823834143e-08,-2.288436689923401e-06 | 1,6
490 | 16.33333418518305 | 136.00282287597656,209.90652465820312,0.20997069776058197 | -1.4792591596091142e-09,5.75249847756254e-10,-1.907030799941367e-08 | 178.4 | -2.4677567012076906e-07,-6.421378202503547e-07,6.742136016146816e-11 | 2.565201668858208e-07,1.4153970084862522e-07,2.6317024094169028e-05 | 1,6
500 | 16.66666753590107 | 136.00282287597656,209.90652465820312,0.20997069776058197 | -8.179354082926693e-09,-3.061470410514744e-09,-7.437419640154985e-07 | 178.4 | 1.3487093610820011e-06,-3.9929677768668626e-06,4.321628610526318e-10 | -1.850090711741359e-07,-2.459998649229078e-09,-2.2884357804286992e-06 | 1,6
510 | 17.00000088661909 | 136.00282287597656,209.90652465820312,0.20997069776058197 | 3.59342666733653e-09,-2.1813990613850365e-09,-6.102498559812375e-07 | 178.4 | 9.443375574846868e-07,2.033460532402387e-06,-4.398504824254523e-11 | 2.3116760061725472e-08,-2.952637911945999e-09,-2.2884373720444273e-06 | 1,6
520 | 17.333334237337112 | 136.00282287597656,209.90652465820312,0.20997069776058197 | 4.1243248816158484e-09,-2.913783381242041e-10,-4.576873777750734e-07 | 178.4 | 1.1647502162759338e-07,2.3681232050876133e-06,-9.104677428650731e-11 | 9.429309777431172e-09,1.424830120555498e-08,-2.2884373720444273e-06 | 1,6
530 | 17.666667588055134 | 136.00282287597656,209.90652465820312,0.20997069776058197 | 2.5623023702792125e-09,-1.1338566752172596e-09,-2.0977338976990723e-07 | 178.4 | 4.871164378528192e-07,1.6902029074117308e-06,3.786088456636527e-11 | -2.8153131381714047e-08,7.0116006334330905e-09,-1.7163276879728073e-06 | 1,6
540 | 18.000000938773155 | 136.00282287597656,209.90652465820312,0.20997069776058197 | -2.3918851344006953e-09,-2.7737945273997866e-10,-3.814061599882734e-08 | 178.4 | 1.1926844933896064e-07,-1.0384409279140527e-06,2.0048530890992566e-10 | -9.016127933136886e-08,9.368605446979927e-09,2.34564740821952e-05 | 1,6
550 | 18.333334289491177 | 136.00282287597656,209.90652465820312,0.20997069776058197 | 2.2576778224703276e-09,-1.973154528656096e-09,-7.437419640154985e-07 | 178.4 | 8.559094908378029e-07,1.1308973171253456e-06,-3.702867526489406e-11 | 4.810729592463758e-08,-2.0516683463256413e-08,-2.2884357804286992e-06 | 1,6
560 | 18.666667640209198 | 136.00282287597656,209.90652465820312,0.20997069776058197 | -8.15264566966789e-09,-5.963303739697778e-10,-6.102498559812375e-07 | 178.4 | 2.784670414257562e-07,-4.5714118641626555e-06,2.3716176245081044e-10 | -5.007176895333032e-08,-3.59903431501607e-08,-2.2884373720444273e-06 | 1,6
570 | 19.00000099092722 | 136.00282287597656,209.90652465820312,0.20997069776058197 | 2.793675513146354e-09,-1.8415252656112102e-09,-4.767576911035576e-07 | 178.4 | 7.951607585710008e-07,1.7150362054962898e-06,-1.410171701632379e-10 | 2.1627461421758198e-07,2.6415039044991317e-08,-2.2884373720444273e-06 | 1,6
580 | 19.33333434164524 | 136.00282287597656,209.90652465820312,0.20997069776058197 | -2.9684850133548935e-09,2.084145744873922e-09,-2.288436888875367e-07 | 178.4 | -9.020940865411831e-07,-1.4569511677109404e-06,3.9769479376339234e-11 | -8.107011240099382e-08,5.157105675834828e-08,-1.1442186860222137e-06 | 1,6
590 | 19.666667692363262 | 136.00282287597656,209.90652465820312,0.20997069776058197 | 2.2984360248390345e-10,2.431107815059619e-10,-3.814061599882734e-08 | 178.4 | -1.0436770736532708e-07,9.981167181649653e-08,-3.567290560169134e-11 | 1.6537312319542252e-07,4.507623074800904e-08,2.402858626737725e-05 | 1,6
600 | 20.000001043081284 | 136.00282287597656,209.89849853515625,0.20963062345981598 | 0.002038095146417618,-0.13038775324821472,-1.4684136431242223e-06 | 178.4 | -0.38368648290634155,0.026031143963336945,1.0550131797790527 | -0.022295106202363968,0.04361405596137047,-4.805716889677569e-05 | 0,0
610 | 20.333334393799305 | 136.01190185546875,209.5166778564453,0.20434661209583282 | 0.047554340213537216,-1.9710772037506104,-8.55875332490541e-05 | 178.6 | -0.7167760133743286,-0.011333411559462547,0.1108587384223938 | 0.08322346210479736,-4.584853172302246,0.0001601908152224496 | 0,0
620 | 20.666667744517326 | 136.02923583984375,208.78846740722656,0.20728656649589539 | 0.0537247508764267,-2.198091745376587,7.692961662542075e-05 | 178.6 | 1.113211989402771,0.027157414704561234,0.08430717140436172 | 0.02215694449841976,0.044302936643362045,-0.00021968988585285842 | 0,0
630 | 21.000001095235348 | 136.04518127441406,208.112548828125,0.20850585401058197 | 0.06064780429005623,-2.5835418701171875,-5.206193691265071e-06 | 178.7 | -1.0828970670700073,-0.018075866624712944,0.02812953293323517 | 0.10457060486078262,-4.835407257080078,-0.0003358280810061842 | 0,0
640 | 21.33333444595337 | 136.07164001464844,206.99185180664062,0.2049853503704071 | 0.09496817737817764,-4.022907733917236,-5.162331945030019e-05 | 178.6 | -0.4889717698097229,-0.010629862546920776,0.02353832870721817 | 0.0910630002617836,-4.133419513702393,0.00016934433369897306 | 0,0
650 | 21.66666779667139 | 136.11282348632812,205.24794006347656,0.20572535693645477 | 0.12480726093053818,-5.282698154449463,0.00360049307346344 | 178.6 | 0.5957479476928711,0.015180886723101139,-0.004959061276167631 | 0.04842258617281914,-1.827950358390808,-0.09545698016881943 | 0,0
660 | 22.000001147389412 | 136.1528778076172,203.4745330810547,0.209456205368042 | 0.1096094399690628,-5.148825645446777,-0.0008693580748513341 | 178.8 | 1.5590542554855347,0.03772049397230148,2.2495620250701904 | -0.08502266556024551,1.8340872526168823,0.0029480792582035065 | 0,0
670 | 22.333334498107433 | 136.18435668945312,201.95872497558594,0.21083956956863403 | 0.09277904033660889,-4.975039005279541,3.2800930057419464e-05 | 178.9 | 0.40846818685531616,0.013485278934240341,-2.825289726257324 | -0.06439021974802017,1.012644648551941,-0.004547695629298687 | 0,0
680 | 22.666667848825455 | 136.2130889892578,200.27340698242188,0.21036674082279205 | 0.0714491531252861,-5.085336685180664,0.0011099110124632716 | 179.2 | -0.22478839755058289,0.009167438372969627,-1.039605736732483 | -0.06913638859987259,-0.4938983619213104,-0.02004498802125454 | 0,0
690 | 23.000001199543476 | 136.23036193847656,198.408935546875,0.210209459066391 | 0.018126869574189186,-5.062558650970459,0.00019522273214533925 | 179.8 | 0.40362128615379333,-0.026987889781594276,1.2727694511413574 | -0.8756753206253052,0.765652596950531,-0.005741687957197428 | 0,0
