Simulation Frame | Timestamp | Position | Velocity | Heading | Angular Velocity | Acceleration | Stopped at Red Light + Light ID 
1920 | 64.00000333786011 | 168.3725128173828,187.6735382080078,0.21493442356586456 | -2.6435842514038086,-0.059626445174217224,-0.0008444332052022219 | 268.7 | 0.04392404854297638,-1.8900991678237915,1.4911315441131592 | 16.388002395629883,0.30461621284484863,0.03731067106127739 | 0,0
1930 | 64.33333668857813 | 168.1820526123047,187.66952514648438,0.2156640589237213 | 0.001362171140499413,5.278005119180307e-05,0.000825801573228091 | 268.7 | -0.03695273399353027,1.281654953956604,0.0002988545165862888 | 0.0017103831050917506,0.0002498735848348588,-0.002200900809839368 | 0,0
1940 | 64.66667003929615 | 167.9751739501953,187.6642303466797,0.2143307477235794 | -1.2552847862243652,-0.0337986946105957,0.0001755994017003104 | 268.5 | -0.0211640615016222,0.7823770642280579,0.052043236792087555 | -3.9675304889678955,-0.10147757083177567,-0.0011425018310546875 | 0,0
1950 | 65.00000339001417 | 167.3390655517578,187.6471710205078,0.2139303982257843 | -2.483748197555542,-0.06567360460758209,1.9299151972518303e-05 | 268.5 | -0.001861152471974492,0.11343309283256531,-0.0900380089879036 | -3.396141290664673,-0.0944761112332344,-0.0001470320567023009 | 0,0
1960 | 65.3333367407322 | 166.34266662597656,187.62164306640625,0.2140311747789383 | -3.1177163124084473,-0.07583774626255035,9.6877165560727e-06 | 268.6 | 0.026458727195858955,-0.6733448505401611,-0.26196762919425964 | 4.006704807281494,0.13585364818572998,0.0001504647225374356 | 0,0
1970 | 65.66667009145021 | 165.85289001464844,187.60997009277344,0.21540434658527374 | -0.5442070960998535,-0.01145598478615284,-1.512275412096642e-05 | 268.6 | -0.02907455898821354,0.4445117115974426,-1.2125718593597412 | -2.361513137817383,-0.037356965243816376,0.0002551606739871204 | 0,0
1980 | 66.00000344216824 | 165.50006103515625,187.60243225097656,0.2144603282213211 | -1.3064152002334595,-0.025730609893798828,4.710365828941576e-06 | 268.9 | -0.006510707084089518,0.18604528903961182,-0.15099120140075684 | 0.02137899212539196,0.006244685035198927,-8.009528391994536e-05 | 0,0
1990 | 66.33333679288626 | 165.06585693359375,187.5940704345703,0.21446338295936584 | -1.2990496158599854,-0.023851515725255013,3.8140612446113664e-07 | 268.9 | -0.001486602588556707,-0.03153802827000618,-0.16724281013011932 | 0.02224087528884411,0.003910380881279707,-2.6317022275179625e-05 | 0,0
2000 | 66.66667014360428 | 164.57223510742188,187.585205078125,0.2142869532108307 | -1.8603510856628418,-0.03137191757559776,-3.9094129533623345e-06 | 269.0 | -0.0016433164710178971,0.3811461925506592,-0.25808456540107727 | -3.781585454940796,-0.053817570209503174,-0.00012758035154547542 | 0,0
2010 | 67.0000034943223 | 163.73077392578125,187.57177734375,0.2139682024717331 | -3.0441696643829346,-0.04270264878869057,-3.5089365155727137e-06 | 269.2 | 0.017155379056930542,0.06578443944454193,-0.5070456266403198 | -3.0689046382904053,0.010943970642983913,-2.8033344278810546e-05 | 0,0
2020 | 67.33333684504032 | 162.75906372070312,187.55909729003906,0.21471095085144043 | -1.9657427072525024,-0.020409250631928444,3.5280068004794884e-06 | 269.4 | -0.005066026002168655,-1.3184417486190796,-0.3855244219303131 | 8.957694053649902,0.12069285660982132,-0.00010011911217588931 | 0,0
2030 | 67.66667019575834 | 162.3958282470703,187.5554656982422,0.2148636132478714 | -1.3623738288879395,-0.013308386318385601,1.5713932953076437e-05 | 269.4 | -0.0035916303750127554,1.1594123840332031,0.12870851159095764 | -5.686854839324951,-0.054829519242048264,0.00016362321912311018 | 0,0
2040 | 68.00000354647636 | 161.85202026367188,187.5505828857422,0.21480391919612885 | -0.32961305975914,-0.0018076632404699922,-1.2586402817760245e-06 | 269.4 | -0.045892905443906784,-2.2551677227020264,-0.03285663574934006 | 18.94915771484375,0.11777833104133606,-0.0001327293284703046 | 0,0
2050 | 68.33333689719439 | 161.849853515625,187.550537109375,0.2148805558681488 | 0.0005228339578025043,-6.613373261643574e-05,7.609052318002796e-06 | 269.4 | 0.005334308836609125,0.4508959949016571,-2.482790659996681e-05 | -0.0010892212158069015,0.00012998933380004019,-3.2038118661148474e-05 | 0,0
2060 | 68.6666702479124 | 161.84942626953125,187.550537109375,0.21461032330989838 | 0.00015380453260149807,-2.0246281565050595e-05,6.483904826382059e-07 | 269.4 | 0.0018475806573405862,0.12936395406723022,-1.0509781532164197e-05 | -0.00013506649702321738,1.7851978554972447e-05,-2.917756501119584e-05 | 0,0
2070 | 69.00000359863043 | 161.8492431640625,187.550537109375,0.2145233452320099 | 3.20660910801962e-05,-2.609836542433186e-07,4.1954677953981445e-07 | 269.4 | 0.0005232385010458529,0.02670208364725113,2.7118819616589462e-06 | 0.00018465745961293578,-4.193784661765676e-06,2.116803989338223e-05 | 0,0
