Simulation Frame | Timestamp | Position | Velocity | Heading | Angular Velocity | Acceleration | Stopped at Red Light + Light ID 
110 | 3.6666668578982353 | 98.37737274169922,191.70425415039062,0.21033866703510284 | 4.989229202270508,-0.08631828427314758,-0.0010713125811889768 | 91.0 | -0.197450652718544,-0.18356648087501526,-0.5394334197044373 | 0.35426613688468933,-0.3995521068572998,0.03878271207213402 | 0,0
120 | 4.000000208616257 | 100.049560546875,191.67892456054688,0.2106112688779831 | 5.008874893188477,-0.07439938187599182,0.002173557411879301 | 90.9 | 0.007348529528826475,-0.07889217883348465,-0.02288598194718361 | -0.10266780108213425,0.017428768798708916,0.4392102360725403 | 0,0
130 | 4.333333559334278 | 101.7259750366211,191.65382385253906,0.20978324115276337 | 5.224481105804443,-0.07881055772304535,0.007223202846944332 | 90.9 | -0.008310848847031593,-0.9554103016853333,-0.018810417503118515 | 2.8677031993865967,-0.0438612662255764,-0.1313837468624115 | 0,0
140 | 4.6666669100522995 | 103.57770538330078,191.62646484375,0.2087525874376297 | 5.659961223602295,-0.0832720547914505,-0.0005700686597265303 | 90.8 | -0.019916197285056114,0.5555657744407654,-2.8658905029296875 | -0.5978249907493591,0.020979566499590874,0.001024076365865767 | 0,0
150 | 5.000000260770321 | 105.40371704101562,191.60003662109375,0.21096885204315186 | 5.335617542266846,-0.07473140209913254,-0.00014640274457633495 | 90.8 | 0.016689248383045197,0.31336602568626404,-3.1708366870880127 | -0.7102345824241638,0.033774372190237045,0.0007637659437023103 | 0,0
160 | 5.333333611488342 | 107.17279815673828,191.57603454589844,0.21059219539165497 | 5.343417167663574,-0.06591058522462845,-2.8643600671784952e-05 | 90.7 | 0.008708836510777473,-0.30999335646629333,-2.6585984230041504 | 0.4717254340648651,0.029965413734316826,0.00014817631745245308 | 0,0
170 | 5.666666962206364 | 108.9797134399414,191.55477905273438,0.20996658504009247 | 5.465859413146973,-0.05480681359767914,-4.32895967605873e-06 | 90.6 | 0.0047526005655527115,0.0030369192827492952,-2.551551580429077 | 0.1279592365026474,0.057015154510736465,0.00013101300282869488 | 0,0
180 | 6.000000312924385 | 110.79823303222656,191.5377655029297,0.2103133350610733 | 5.439102649688721,-0.039353471249341965,-7.246716791087238e-07 | 90.4 | -0.0002966079628095031,0.0851043164730072,-2.624504327774048 | -0.11967658251523972,0.051370780915021896,-2.002382097998634e-05 | 0,0
190 | 6.3333336636424065 | 112.60501098632812,191.52584838867188,0.21041667461395264 | 5.4395551681518555,-0.023718010634183884,-4.1954677953981445e-07 | 90.2 | -0.011764035560190678,-0.21153539419174194,-2.1051571369171143 | 1.0873602628707886,0.03139122948050499,5.091771890874952e-05 | 0,0
200 | 6.666667014360428 | 114.46733093261719,191.51882934570312,0.20961634814739227 | 5.670621871948242,-0.008705626241862774,-3.089389792876318e-06 | 90.1 | -0.016208134591579437,0.017981329932808876,-2.170585870742798 | 0.2936982810497284,0.03419167920947075,-1.9451710613793693e-05 | 0,0
210 | 7.000000365078449 | 116.36268615722656,191.51661682128906,0.21008239686489105 | 5.68403959274292,0.003541285637766123,2.898686716434895e-06 | 90.0 | -0.036979563534259796,0.13858775794506073,-2.3688652515411377 | -0.0753021165728569,0.0022605641279369593,1.2586400771397166e-05 | 0,0
220 | 7.333333715796471 | 118.25284576416016,191.51866149902344,0.21035940945148468 | 5.66318416595459,0.015055589377880096,2.7651944947137963e-06 | 89.8 | -0.016754498705267906,0.020891454070806503,-2.423994302749634 | -0.033431049436330795,0.018928375095129013,2.1168036255403422e-05 | 0,0
230 | 7.666667066514492 | 120.32855987548828,191.524658203125,0.21035216748714447 | 5.66217041015625,0.02394643984735012,-2.002382188948104e-06 | 89.8 | 0.0018862785072997212,-0.013698304072022438,-2.4882681369781494 | 0.012001990340650082,0.04038110002875328,-3.890342122758739e-05 | 0,0
240 | 8.000000417232513 | 122.02777862548828,191.53173828125,0.2103281319141388 | 5.666327476501465,0.028442349284887314,-9.535153111528416e-08 | 89.7 | 0.0014003112446516752,-0.006928772199898958,-2.555558204650879 | 0.012917517684400082,0.03050118498504162,5.3778261644765735e-05 | 0,0
250 | 8.333333767950535 | 123.91707611083984,191.54116821289062,0.21032482385635376 | 5.6696977615356445,0.03147319331765175,2.8605461466213455e-07 | 89.7 | -0.007148562930524349,-0.0024078278802335262,-2.625452756881714 | 0.00836849119514227,0.005217790137976408,3.4326552849961445e-05 | 0,0
260 | 8.666667118668556 | 125.80714416503906,191.55776977539062,0.2103259265422821 | 5.668492317199707,0.16163580119609833,-1.0183543963648845e-05 | 88.4 | 1.2872443199157715,0.02080668695271015,0.8052109479904175 | -0.05747794732451439,1.716644525527954,-0.0001767817302607 | 0,0
270 | 9.000000469386578 | 127.61370849609375,191.84193420410156,0.21211543679237366 | 4.711413860321045,2.504175901412964,-0.0014316461747512221 | 62.0 | 7.112327575683594,2.757991313934326,58.244651794433594 | -8.188618659973145,10.802849769592285,-0.009503306820988655 | 0,0
280 | 9.333333820104599 | 129.02330017089844,192.79087829589844,0.21243880689144135 | 3.548213005065918,4.210896968841553,0.0067389123141765594 | 40.1 | -0.7052125930786133,-1.0466095209121704,60.38409423828125 | -5.022310733795166,5.331429958343506,-0.0957052931189537 | 0,0
290 | 9.66666717082262 | 130.34046936035156,194.1173553466797,0.21093539893627167 | 3.166862726211548,4.707405090332031,-0.0006886478513479233 | 33.9 | 1.9906201362609863,2.784489154815674,42.839561462402344 | -6.045162200927734,3.395247220993042,-0.008720087818801403 | 0,0
300 | 10.000000521540642 | 131.09840393066406,195.7213897705078,0.21302054822444916 | 0.7993831634521484,5.39023494720459,-0.0002837280335370451 | 8.4 | -1.317725658416748,-2.680647611618042,62.18353271484375 | -0.7673102021217346,1.0202263593673706,0.012952551245689392 | 0,0
310 | 10.333333872258663 | 131.5930633544922,197.52134704589844,0.2105652540922165 | 1.2758053541183472,5.551297664642334,0.0003383263247087598 | 12.9 | -0.0392797477543354,-0.3925926387310028,14.324881553649902 | -2.550755500793457,0.8305835127830505,-0.0050145359709858894 | 0,0
320 | 10.666667222976685 | 131.9536590576172,199.3927459716797,0.21046988666057587 | 0.5829036831855774,5.661078929901123,-0.0001287436462007463 | 5.9 | -0.3297923803329468,-0.277325302362442,20.29371452331543 | -0.8227335810661316,0.08580207079648972,0.0010137775680050254 | 0,0
330 | 11.000000573694706 | 132.16278076171875,201.47879028320312,0.2104351818561554 | 0.28039291501045227,5.691078186035156,3.2286032364936545e-05 | 2.8 | -0.21349860727787018,0.004286770708858967,12.422894477844238 | -1.315567135810852,0.07382868975400925,-0.00043022603495046496 | 0,0
340 | 11.333333924412727 | 132.2525177001953,203.19561767578125,0.210386723279953 | 0.1457286924123764,5.700286865234375,1.6781870726845227e-05 | 1.5 | -0.2378685623407364,-0.3355640172958374,8.21914291381836 | -0.4407472610473633,0.020184515044093132,-5.6638797104824334e-05 | 0,0
