Simulation Frame | Timestamp | Position | Velocity | Heading | Angular Velocity | Acceleration | Stopped at Red Light + Light ID 
2040 | 68.00000354647636 | 135.98789978027344,226.3212127685547,0.2632584273815155 | -0.0484476275742054,-2.3214240074157715,-7.914177331258543e-06 | 181.2 | 0.21669045090675354,-0.02059982530772686,2.8837196826934814 | -0.16191868484020233,-3.0402300357818604,4.176397487754002e-05 | 0,0
2050 | 68.33333689719439 | 135.96945190429688,225.37939453125,0.263256698846817 | -0.023718412965536118,-3.14001202583313,3.0703195079695433e-06 | 180.4 | -0.5588939785957336,0.051860224455595016,3.3761675357818604 | 0.302206814289093,0.8014940619468689,7.322998135350645e-05 | 0,0
2060 | 68.6666702479124 | 135.96449279785156,224.91905212402344,0.2592531442642212 | 3.4532200515968725e-05,-8.102990250336006e-05,-6.895823025843129e-05 | 180.4 | -0.020939771085977554,0.013206472620368004,-0.00010583300900179893 | 0.002405307488515973,0.06417275965213776,0.0006058635772205889 | 0,0
2070 | 69.00000359863043 | 135.96401977539062,224.8597412109375,0.26195433735847473 | -0.00341541669331491,-0.8309994339942932,3.92085530620534e-05 | 180.4 | 2.280470848083496,0.016829604282975197,0.672243058681488 | -0.026428956538438797,-5.2794508934021,-0.0002820498193614185 | 0,0
2080 | 69.33333694934845 | 135.9608612060547,224.36476135253906,0.2633938789367676 | -0.0011105954181402922,-2.0025486946105957,-8.085810804914217e-06 | 180.0 | 0.11734448373317719,0.021460173651576042,1.47230863571167 | 0.1131882593035698,-3.0415425300598145,5.721090565202758e-05 | 0,0
2090 | 69.66667030006647 | 135.95970153808594,223.5261993408203,0.2633608877658844 | 0.011270438320934772,-2.9685823917388916,1.0488669204278267e-06 | 179.8 | -0.05524611100554466,0.004574120044708252,1.6937065124511719 | 0.07631655037403107,-2.8066704273223877,-1.3158509318600409e-05 | 0,0
2100 | 70.00000365078449 | 135.96360778808594,222.5862274169922,0.2614457309246063 | 0.0170148778706789,-1.8849985599517822,-1.907030799941367e-08 | 179.5 | -2.2756826877593994,-0.05565256252884865,0.8877063393592834 | -0.0555015504360199,8.285200119018555,-0.00031237161601893604 | 0,0
2110 | 70.33333700150251 | 135.96665954589844,222.17019653320312,0.26153209805488586 | 0.016490589827299118,-1.6273130178451538,3.159949847031385e-05 | 179.4 | 1.8742802143096924,0.030364040285348892,0.605115532875061 | 0.06342870742082596,-3.6499319076538086,7.437410658894805e-06 | 0,0
2120 | 70.66667035222054 | 135.97317504882812,221.44168090820312,0.26310858130455017 | 0.0324152372777462,-2.664923667907715,-7.609052318002796e-06 | 179.3 | 0.3185519874095917,0.03513623774051666,0.8246374130249023 | 0.12144443392753601,-2.8954622745513916,-1.4874834960210137e-05 | 0,0
2130 | 71.00000370293856 | 135.983154296875,220.55191040039062,0.26245906949043274 | 0.03164318576455116,-2.6609110832214355,4.481521955312928e-06 | 179.3 | -0.35743239521980286,-0.03452775999903679,0.45589739084243774 | -0.08663802593946457,0.04184245690703392,-2.8605467377929017e-05 | 0,0
2140 | 71.33333705365658 | 135.99560546875,219.6036834716797,0.2627865672111511 | 0.04896005615592003,-3.330637216567993,-6.674607902823482e-06 | 179.2 | 0.7712836861610413,-0.0013196790823712945,0.5317965745925903 | 0.009605436585843563,-3.710202932357788,-7.26578728063032e-05 | 0,0
2150 | 71.6666704043746 | 136.00807189941406,218.737060546875,0.2604890465736389 | 0.0211936067789793,-1.3937498331069946,-3.180927160428837e-05 | 179.1 | -1.4508171081542969,-0.024850815534591675,0.033938392996788025 | -0.044570375233888626,4.354916572570801,-0.00021225247473921627 | 0,0
2160 | 72.00000375509262 | 136.01646423339844,218.1708984375,0.26213133335113525 | 0.03393903002142906,-2.151414632797241,1.3234793186711613e-05 | 179.1 | 1.209293007850647,0.02463311329483986,0.1802784651517868 | 0.07810457795858383,-2.9955480098724365,-0.00014359941997099668 | 0,0
2170 | 72.33333710581064 | 136.03012084960938,217.28182983398438,0.2631509006023407 | 0.04805143550038338,-3.1335537433624268,-5.568529559241142e-06 | 179.1 | 0.2335013747215271,-0.010037973523139954,0.11852281540632248 | 0.006101130973547697,-2.9027435779571533,1.4874834960210137e-05 | 0,0
2180 | 72.66667045652866 | 136.04910278320312,216.07044982910156,0.26329490542411804 | 0.06526890397071838,-4.082261085510254,-7.628123199765469e-08 | 179.1 | 0.014005819335579872,0.0050148069858551025,0.12465827167034149 | 0.06433501094579697,-2.800154447555542,-1.830749533837661e-05 | 0,0
2190 | 73.00000380724669 | 136.07298278808594,214.5570831298828,0.2631995975971222 | 0.07681608945131302,-4.894376277923584,3.051248995689093e-06 | 179.1 | -0.18228156864643097,-0.006512194871902466,0.024774273857474327 | 0.01758277229964733,-1.8008993864059448,-1.9451716070761904e-05 | 0,0
2200 | 73.3333371579647 | 136.09954833984375,212.86219787597656,0.2635321319103241 | 0.08119115978479385,-5.203783988952637,-0.0010501255746930838 | 179.1 | -0.15164972841739655,-0.0005951143684796989,0.07952063530683517 | 0.007324218284338713,-0.14481066167354584,-0.009017585776746273 | 0,0
2210 | 73.66667050868273 | 136.1256866455078,211.17034912109375,0.2626711428165436 | 0.07498892396688461,-5.0060200691223145,0.00010389503586338833 | 179.1 | -0.19265930354595184,-0.0010235710069537163,-1.1363136768341064 | -0.01858949474990368,0.7181310057640076,-0.008329910226166248 | 1,6
2220 | 74.00000385940075 | 136.14532470703125,209.814453125,0.259333997964859 | 0.03269503265619278,-2.336697578430176,0.0007982449023984373 | 179.2 | -2.5111913681030273,-0.029096407815814018,-0.026853786781430244 | -0.19238154590129852,12.9492826461792,0.004837181884795427 | 1,6
2230 | 74.33333721011877 | 136.14797973632812,209.62353515625,0.25883999466896057 | -3.554155046003871e-05,0.003607986494898796,0.0005043143173679709 | 179.2 | 2.0976808071136475,0.029101233929395676,0.00015862852160353214 | -0.00023796275490894914,0.008632360957562923,-0.0009725835989229381 | 1,6
2240 | 74.66667056083679 | 136.14794921875,209.62635803222656,0.2613796591758728 | -2.0052762920386158e-05,0.0014402999076992273,0.00010215963993687183 | 179.2 | 0.760995090007782,0.010185757651925087,3.9302922232309356e-05 | 8.28025586088188e-05,-0.006897858809679747,-0.0007271505892276764 | 1,6
2250 | 75.00000391155481 | 136.14794921875,209.62698364257812,0.2619324326515198 | -2.8673416636593174e-06,0.00019442087796051055,4.309889391151955e-06 | 179.2 | 0.10124921798706055,0.001467362279072404,-1.6894001646505785e-06 | -1.0301930160494521e-05,0.0007424737559631467,1.3730617865803652e-05 | 1,6
2260 | 75.33333726227283 | 136.14794921875,209.62709045410156,0.26205357909202576 | 0.0,0.0,0.0 | 179.2 | 0.0,0.0,0.0 | 3.8002373912604526e-05,-0.002717467723414302,-9.325379505753517e-05 | 1,6
2270 | 75.66667061299086 | 136.14794921875,209.62710571289062,0.2620863914489746 | -3.0591820632253075e-07,2.2978207198320888e-05,6.865310524517554e-07 | 179.2 | 0.011841198429465294,0.00017325751832686365,-1.3625638928260742e-07 | 2.243772087240359e-06,-9.862028673524037e-05,7.437419299094472e-06 | 1,6
2280 | 76.00000396370888 | 136.14794921875,209.62710571289062,0.26209402084350586 | -1.2228042578499299e-07,6.4434257183165755e-06,6.102498559812375e-07 | 179.2 | 0.003321661613881588,6.46997505100444e-05,-4.387840135677834e-08 | -6.095128242122883e-07,-2.0825125830015168e-05,-2.116803989338223e-05 | 1,6
2290 | 76.3333373144269 | 136.14794921875,209.62710571289062,0.2620962858200073 | -3.916780855206525e-08,1.632156340747315e-06,3.2419524131910293e-07 | 179.2 | 0.0008424786501564085,3.265442865085788e-05,-1.2989028519427848e-08 | 1.9785416043305304e-06,-1.8862077695303014e-06,1.2014293133688625e-05 | 1,6
2300 | 76.66667066514492 | 136.14794921875,209.62710571289062,0.26209738850593567 | -9.836634262683219e-08,3.549602638486249e-07,3.623358395543619e-07 | 179.2 | 0.000185733413673006,4.0797389374347404e-05,-5.854906337532384e-09 | -4.138283202337334e-06,1.4535997934217448e-06,0.0 | 1,6
2310 | 77.00000401586294 | 136.14794921875,209.62710571289062,0.26209738850593567 | 0.0,0.0,0.0 | 179.2 | 0.0,0.0,0.0 | 2.9629209166159853e-06,-5.787534519186011e-06,-6.293201295193285e-06 | 1,6
2320 | 77.33333736658096 | 136.14794921875,209.62710571289062,0.26209738850593567 | -1.0042381148878121e-08,4.352239812988046e-08,-3.623358395543619e-07 | 179.2 | 2.2625319616054185e-05,5.312953362590633e-06,3.1894550889255413e-10 | -2.4710882371437037e-06,-3.7805946817570657e-07,-2.288436735398136e-05 | 1,6
2330 | 77.66667071729898 | 136.14794921875,209.62710571289062,0.26209738850593567 | 2.214679284406884e-08,1.6760863807974147e-09,5.530388875740755e-07 | 179.2 | 8.558769195587956e-07,-8.83011489349883e-06,7.710439231534139e-11 | 1.4468878362094983e-07,-1.2907877362522413e-06,2.1168038074392825e-05 | 1,6
